advice,prev_eps,eps,est_price,rev_yoy,gm,status,prev_eps_yoy,om,name,price,expansion,pe,date,symbol,prev_year,prev_rev_yoy,eps_yoy
⚪ 中性觀察,1.21,1.86,61.95000000000001,3.65,23.30%,📉 獲利侵蝕,-27.11,7.20%,光頡,59.4000015259,-13.360000000000001,14.382566955423727,2025-12,3624.TWO,2025,1.22,-9.71
⚪ 中性觀察,1.28,1.81,64.64999999999999,-10.06,33.56%,🌑 雙重衰退,-19.23,14.34%,味王,43.3499984741,-13.44,10.058004286334107,2025-12,1203.TW,2025,-4.13,-23.5
❌ 暫避觀望,51.76,66.16,2584.0499999999997,12.32,46.13%,📉 獲利侵蝕,-0.39,14.55%,聯發科,3420.0,-13.46,19.852557032565162,2025-12,2454.TW,2025,13.56,-1.14
⚪ 中性觀察,6.08,7.4,295.94999999999993,1.19,25.33%,📉 獲利侵蝕,-9.93,7.00%,茂訊,114.5,-13.51,5.803345159655348,2025-12,3213.TWO,2025,6.38,-12.32
❌ 暫避觀望,18.13,28.26,891.8999999999999,47.52,26.37%,⚠️ 獲利稀釋,13.67,14.07%,雙鴻,1070.0,-13.540000000000006,17.99529095190044,2025-12,3324.TWO,2025,34.54,33.98
⚪ 中性觀察,7.92,10.77,403.95,-1.34,N/A,🌑 雙重衰退,-18.85,N/A,耕興,226.0,-13.59,8.392127738581507,2025-12,6146.TWO,2025,-2.12,-14.93
⚪ 中性觀察,5.76,7.95,298.05,-18.5,18.72%,🌑 雙重衰退,-37.53,9.93%,廣隆,123.0,-13.780000000000001,6.190236537493709,2025-12,1537.TW,2025,-17.19,-32.28
⚪ 中性觀察,4.09,4.51,251.09999999999997,11.21,N/A,📉 獲利侵蝕,-8.09,N/A,正瀚-創,96.8000030518,-13.8,5.782556932604541,2025-12,6534.TW,2025,9.59,-2.59
⚪ 中性觀察,4.28,5.37,224.4,2.9,N/A,📉 獲利侵蝕,-22.46,N/A,台灣虎航,55.2000007629,-13.85,3.6898396231885022,2025-12,6757.TW,2025,-0.39,-10.95
⚪ 中性觀察,2.21,3.63,134.10000000000002,21.07,11.53%,⚠️ 獲利稀釋,14.74,2.34%,欣新網,54.0,-14.18,6.040268456375838,2025-12,2949.TWO,2025,22.59,6.89
⚪ 中性觀察,0.88,1.36,49.650000000000006,0.3,34.44%,📉 獲利侵蝕,-33.33,17.09%,倉佑,29.4500007629,-14.22,8.897281197250754,2025-12,1568.TW,2025,-1.99,-13.92
⚪ 中性觀察,2.54,3.34,117.6,2.26,30.67%,📉 獲利侵蝕,-18.45,19.78%,聯電,96.5,-14.23,12.308673469387756,2025-12,2303.TW,2025,2.23,-11.97
❌ 暫避觀望,4.59,6.66,235.35,4.64,N/A,📉 獲利侵蝕,-14.37,N/A,系微,332.0,-14.27,21.159974506054812,2025-12,6231.TWO,2025,4.28,-9.63
⚪ 中性觀察,1.64,2.19,84.74999999999999,6.08,N/A,📉 獲利侵蝕,-11.9,N/A,萬泰科,74.6999969482,-14.3,13.221238397911504,2025-12,6190.TWO,2025,8.02,-8.22
⚪ 中性觀察,15.38,20.87,792.1500000000001,3.26,N/A,📉 獲利侵蝕,-15.63,N/A,晶碩,284.0,-14.34,5.377769361863283,2025-12,6491.TW,2025,1.72,-11.08
⚪ 中性觀察,1.08,1.07,77.10000000000001,-68.21,21.31%,🌑 雙重衰退,417.65,-1.56%,富華新,13.5500001907,-14.39,2.6361868075291826,2025-12,3056.TW,2025,1491.72,-82.6
⚪ 中性觀察,5.3,7.39,263.85,19.07,38.51%,⚠️ 獲利稀釋,-2.6,18.05%,融程電,171.5,-14.510000000000002,9.749857873791928,2025-12,3416.TW,2025,18.44,4.56
⚪ 中性觀察,3.42,5.39,182.24999999999997,-0.73,4.09%,🌑 雙重衰退,-30.83,1.39%,和碩,84.3000030518,-14.57,6.938271856115228,2025-12,4938.TW,2025,-0.09,-15.3
⚪ 中性觀察,11.18,15.04,553.65,11.58,52.30%,🏰 高護城河,1.18,11.29%,豆府,181.0,-14.67,4.90382010295313,2025-12,2752.TWO,2025,12.18,-3.09
⚪ 中性觀察,0.7,0.93,34.95,0.06,102.49%,🏰 高護城河,-24.1,38.22%,遠東銀,12.25,-14.91,5.257510729613734,2025-12,2845.TW,2025,-3.1,-14.85
⚪ 中性觀察,3.68,5.15,184.2,72.06,10.03%,⚠️ 獲利稀釋,50.82,3.96%,神達,87.4000015259,-15.050000000000004,7.117263967907166,2025-12,3706.TW,2025,97.96,57.01
⚪ 中性觀察,2.42,3.0,106.65,-6.89,14.02%,🌑 雙重衰退,-10.94,10.05%,亞泥,34.9500007629,-15.149999999999999,4.915611921645569,2025-12,1102.TW,2025,-4.13,-22.04
⚪ 數據不足,1.37,1.53,0.0,-4.68,4.14%,🌑 雙重衰退,-17.96,0.97%,元禎,0.0,-15.219999999999999,0.0,2025-12,1725.TW,2025,2.13,-19.9
⚪ 中性觀察,4.81,7.85,265.35,0.7,N/A,📉 獲利侵蝕,-29.26,N/A,數泓科,105.0,-15.37,5.935556811758055,2025-12,6855.TWO,2025,4.61,-14.67
⚪ 數據不足,-2.71,-5.06,-222.15,16.77,7.87%,⚠️ 獲利稀釋,65.91,-5.22%,永冠-KY,5.5399999619,-15.41,0.0,2025-09,1589.TW,2025,18.73,1.36
❌ 暫避觀望,0.25,0.45,12.9,0.36,9.65%,📉 獲利侵蝕,-30.56,1.10%,福壽,13.3999996185,-15.45,15.581394905232559,2025-12,1219.TW,2025,0.36,-15.09
⚪ 中性觀察,3.07,6.56,190.95000000000002,29.58,N/A,⚠️ 獲利稀釋,-16.19,N/A,聚賢研發-創,128.0,-15.609999999999998,10.054988216810683,2025-12,7631.TW,2025,2.0,13.97
⚪ 中性觀察,6.9,9.39,355.34999999999997,10.13,N/A,📉 獲利侵蝕,-8.37,N/A,台表科,183.0,-15.66,7.724778387505277,2025-12,6278.TW,2025,13.01,-5.53
⚪ 數據不足,-4.65,-7.23,-237.15000000000003,60.07,N/A,⚠️ 獲利稀釋,7.24,N/A,沛爾生醫-創,684.0,-15.689999999999998,0.0,2025-12,6949.TW,2025,69.11,44.38
⚪ 中性觀察,1.08,1.55,56.25,-6.24,19.14%,🌑 雙重衰退,-22.9,6.69%,遠東新,26.0,-15.69,6.933333333333334,2025-12,1402.TW,2025,-7.44,-21.93
⚪ 數據不足,-1.33,-1.96,-69.6,38.52,N/A,⚠️ 獲利稀釋,28.11,N/A,ABC-KY,22.6000003815,-15.690000000000005,0.0,2025-12,6598.TW,2025,38.99,22.83
⚪ 中性觀察,3.37,4.1,168.29999999999998,2.05,N/A,📉 獲利侵蝕,-11.78,N/A,百和,45.5999984741,-15.73,4.0641709869964355,2025-12,9938.TW,2025,3.55,-13.68
⚪ 中性觀察,1.89,3.41,106.35,13.17,N/A,📉 獲利侵蝕,-22.31,N/A,千附,66.6999969482,-15.76,9.407615930634696,2025-12,8383.TWO,2025,16.5,-2.59
⚪ 中性觀察,2.29,3.41,101.85,-30.87,N/A,🌑 雙重衰退,-54.2,N/A,匯僑設計,45.5499992371,-15.849999999999998,6.708394585729014,2025-12,6754.TW,2025,-30.5,-46.72
⚪ 中性觀察,4.02,5.97,209.09999999999997,-5.89,N/A,🌑 雙重衰退,-24.29,N/A,益張,87.5999984741,-15.969999999999999,6.284074495989958,2025-12,8342.TWO,2025,-2.74,-21.86
⚪ 中性觀察,4.0,5.48,199.65,9.98,N/A,📉 獲利侵蝕,-15.38,N/A,群益期,58.2000007629,-15.99,4.372652198564988,2025-12,6024.TW,2025,14.8,-6.01
⚪ 中性觀察,2.35,2.9,113.39999999999999,13.71,N/A,📉 獲利侵蝕,-13.92,N/A,華孚,43.4000015259,-16.07,5.740740942579365,2025-12,6235.TW,2025,5.83,-2.36
❌ 暫避觀望,2.8,4.01,140.54999999999998,-10.64,N/A,🌑 雙重衰退,-25.2,N/A,采鈺,581.0,-16.37,62.00640341515476,2025-12,6789.TW,2025,-9.08,-27.01
❌ 暫避觀望,3.84,6.81,197.24999999999997,-7.01,N/A,🌑 雙重衰退,-43.52,N/A,鈺太,312.0,-16.4,23.72623574144487,2025-12,6679.TWO,2025,-6.83,-23.41
⚪ 數據不足,-1.85,-2.6,-96.6,-13.41,5.34%,🌑 雙重衰退,-51.82,-4.30%,台聚,13.0,-16.419999999999998,0.0,2025-12,1304.TW,2025,-10.84,-29.83
⚪ 中性觀察,12.33,16.97,624.6,22.33,48.09%,⚠️ 獲利稀釋,9.74,32.41%,凡甲,377.5,-16.689999999999998,9.065802113352545,2025-12,3526.TWO,2025,24.44,5.64
❌ 暫避觀望,1.39,1.98,75.14999999999999,-12.98,46.40%,🌑 雙重衰退,-22.03,17.75%,前鼎,238.5,-16.81,47.60479041916168,2025-12,4908.TWO,2025,-4.58,-29.79
⚪ 中性觀察,3.01,4.04,157.20000000000002,9.7,N/A,📉 獲利侵蝕,-10.23,N/A,昕奇雲端,132.0,-16.88,12.595419847328245,2025-12,7747.TWO,2025,12.71,-7.18
⚪ 中性觀察,6.59,9.52,319.65000000000003,51.01,9.56%,⚠️ 獲利稀釋,67.26,7.58%,根基,85.5,-16.93,4.0122008446738615,2025-12,2546.TW,2025,58.45,34.08
⚪ 中性觀察,0.95,2.1,49.35,-15.9,33.40%,🌑 雙重衰退,-37.41,27.38%,興富發,39.4000015259,-16.990000000000002,11.9756843543769,2025-12,2542.TW,2025,-41.9,-32.89
⚪ 數據不足,-0.82,-0.84,-35.099999999999994,33.85,28.85%,⚠️ 獲利稀釋,-38.98,-17.20%,全域,17.5499992371,-17.020000000000003,0.0,2025-12,3067.TWO,2025,16.84,16.83
❌ 暫避觀望,4.6,7.83,268.79999999999995,5.02,58.57%,🏰 高護城河,-25.66,27.57%,昇達科,1620.0,-17.049999999999997,90.40178571428572,2025-12,3491.TWO,2025,-6.01,-12.03
⚪ 數據不足,-0.65,-0.48,-28.5,17.25,3.88%,📉 獲利侵蝕,-58.54,0.87%,尚立,13.4499998093,-17.25,0.0,2025-12,3360.TWO,2025,7.82,0.0
⚪ 中性觀察,1.71,2.23,84.74999999999999,11.76,N/A,📉 獲利侵蝕,-11.4,N/A,欣泰,52.2999992371,-17.27,9.256637033115046,2025-12,8917.TWO,2025,16.23,-5.51
❌ 暫避觀望,9.12,11.77,423.29999999999995,85.22,N/A,⚠️ 獲利稀釋,113.1,N/A,意騰-KY,505.0,-17.349999999999994,17.895109851169384,2025-12,7749.TW,2025,106.86,67.87
⚪ 數據不足,-0.08,-0.09,-3.5999999999999996,-98.98,N/A,🌑 雙重衰退,-115.09,N/A,豐謙,30.3500003815,-17.379999999999995,0.0,2025-12,5523.TWO,2025,-99.19,-116.36
⚪ 數據不足,4.7,7.27,0.0,7.07,63.24%,🏰 高護城河,-5.06,24.73%,嘉實,89.0,-17.43,0.0,2025-12,3158.TWO,2025,10.44,-10.36
⚪ 中性觀察,2.76,4.31,125.69999999999999,-4.75,35.36%,🌑 雙重衰退,-37.98,30.49%,裕民,65.0999984741,-17.45,7.768496237959429,2025-12,2606.TW,2025,-9.08,-22.2
⚪ 中性觀察,13.82,18.14,685.8,10.36,55.31%,🏰 高護城河,-8.92,23.84%,美時,233.0,-17.5,5.096237970253719,2025-12,1795.TW,2025,0.51,-7.14
⚪ 中性觀察,20.8,26.87,1066.8000000000002,-2.07,38.19%,🌑 雙重衰退,-18.56,16.92%,聯詠,453.0,-17.55,6.369516310461192,2025-12,3034.TW,2025,0.41,-19.62
⚪ 中性觀察,3.06,4.08,149.1,29.29,70.98%,🏰 高護城河,3.78,31.38%,中信金,56.2000007629,-17.56,5.653923617997988,2025-12,2891.TW,2025,23.13,11.73
⚪ 數據不足,1.66,2.14,0.0,7.33,N/A,📉 獲利侵蝕,0.61,N/A,常廣,37.7000007629,-17.66,0.0,2025-12,6730.TWO,2025,4.58,-10.33
⚪ 中性觀察,1.84,1.87,88.35000000000001,-1.74,N/A,🌑 雙重衰退,8.24,N/A,大汽電,41.5999984741,-17.66,7.0628180770967735,2025-12,8931.TWO,2025,2.2,-19.4
⚪ 中性觀察,2.44,5.27,117.75,-17.06,37.77%,🌑 雙重衰退,-61.76,36.66%,慧洋-KY,76.8000030518,-17.720000000000002,9.783439879210192,2025-12,2637.TW,2025,-24.86,-34.78
❌ 暫避觀望,1.21,2.1,66.60000000000001,12.79,N/A,📉 獲利侵蝕,-31.64,N/A,昶昕,90.4000015259,-17.77,20.360360704031528,2025-12,8438.TW,2025,10.16,-4.98
⚪ 數據不足,-0.82,-1.12,-36.6,-3.95,N/A,🌑 雙重衰退,-28.12,N/A,佳總,6.8400001526,-17.79,0.0,2025-12,5355.TWO,2025,-9.55,-21.74
⚪ 中性觀察,3.14,4.2,157.95,20.5,39.87%,⚠️ 獲利稀釋,-4.85,7.82%,倫飛,65.3000030518,-17.81,6.201329824482432,2025-12,2364.TW,2025,25.9,2.69
❌ 暫避觀望,4.61,7.05,242.7,27.79,22.01%,⚠️ 獲利稀釋,11.3,15.04%,勤凱,267.0,-17.95,16.50185414091471,2025-12,4760.TWO,2025,24.72,9.84
⚪ 中性觀察,1.52,2.53,81.3,27.49,N/A,⚠️ 獲利稀釋,0.66,N/A,大世科,61.7999992371,-17.97,11.402213881383764,2025-12,8099.TWO,2025,24.12,9.52
⚪ 中性觀察,1.49,2.37,78.0,-3.38,25.76%,🌑 雙重衰退,-29.38,10.08%,怡利電,60.5,-17.98,11.634615384615385,2025-12,2497.TW,2025,0.55,-21.36
⚪ 中性觀察,12.08,14.92,604.9499999999999,-2.91,32.65%,🌑 雙重衰退,-0.58,10.54%,拓凱,151.0,-17.98,3.744111083560625,2025-12,4536.TW,2025,7.51,-20.89
⚪ 中性觀察,1.48,1.58,73.2,-4.72,18.21%,🌑 雙重衰退,-1.99,6.19%,六暉-KY,21.4500007629,-18.21,4.395491959610656,2025-12,2115.TW,2025,-3.67,-22.93
⚪ 中性觀察,4.78,6.57,245.39999999999998,15.94,N/A,📉 獲利侵蝕,-23.95,N/A,世紀鋼,105.5,-18.419999999999998,6.4486552567237165,2025-12,9958.TW,2025,20.49,-2.48
❌ 暫避觀望,1.33,2.07,62.55,6.75,N/A,📉 獲利侵蝕,-41.96,N/A,台虹,136.5,-18.439999999999998,32.73381294964029,2025-12,8039.TW,2025,2.03,-11.69
⚪ 中性觀察,3.36,5.32,181.05,-0.48,31.94%,🌑 雙重衰退,-30.34,17.40%,華勝-KY,54.4000015259,-18.52,4.507042379942005,2025-12,2248.TW,2025,-4.67,-19.0
⚪ 中性觀察,2.14,3.08,106.2,-8.15,N/A,🌑 雙重衰退,-30.54,N/A,福興,43.4000015259,-18.560000000000002,6.129943718347458,2025-12,9924.TW,2025,-7.04,-26.71
⚪ 中性觀察,1.52,2.2,78.30000000000001,11.04,N/A,📉 獲利侵蝕,-1.94,N/A,進典,46.5,-18.599999999999998,8.908045977011493,2025-12,6843.TWO,2025,6.64,-7.56
⚪ 中性觀察,2.98,3.89,163.8,-14.48,N/A,🌑 雙重衰退,-37.15,N/A,久昌,158.0,-18.679999999999996,14.468864468864469,2025-12,6720.TWO,2025,-10.54,-33.16
⚪ 數據不足,-1.71,-1.86,-73.35000000000001,4.48,N/A,📉 獲利侵蝕,-33.86,N/A,力積電,63.9000015259,-18.68,0.0,2025-12,6770.TW,2025,1.91,-14.2
⚪ 數據不足,6.03,8.72,0.0,30.49,N/A,⚠️ 獲利稀釋,14.64,N/A,安葆,325.5,-18.7,0.0,2025-12,7792.TWO,2025,37.75,11.79
⚪ 數據不足,12.91,16.28,0.0,59.94,N/A,⚠️ 獲利稀釋,74.46,N/A,崴寶,556.0,-18.739999999999995,0.0,2025-12,7744.TWO,2025,75.55,41.2
⚪ 中性觀察,3.56,6.18,244.04999999999998,8.55,N/A,📉 獲利侵蝕,-26.95,N/A,明安,56.5,-18.79,3.472649047326368,2025-12,8938.TWO,2025,9.03,-10.24
⚪ 數據不足,-4.17,-3.92,0.0,-29.22,N/A,🌑 雙重衰退,-37.5,N/A,心誠鎂,0.0,-18.86,0.0,2025-12,6934.TW,2025,-51.26,-48.08
❌ 暫避觀望,0.16,0.2,4.050000000000001,-28.43,3.78%,🌑 雙重衰退,-68.0,0.03%,三商壽,7.8099999428,-18.939999999999998,28.925925714074072,2025-12,2867.TW,2025,-43.41,-47.37
⚪ 中性觀察,16.64,24.76,864.6000000000001,47.13,N/A,⚠️ 獲利稀釋,27.98,N/A,洋基工程,671.0,-19.090000000000003,11.6412213740458,2025-12,6691.TW,2025,54.5,28.04
⚪ 中性觀察,2.45,3.3,120.6,3.75,27.76%,📉 獲利侵蝕,-20.71,22.79%,國產,35.0,-19.17,4.353233830845771,2025-12,2504.TW,2025,4.82,-15.42
⚪ 中性觀察,3.37,4.16,157.95,19.26,N/A,📉 獲利侵蝕,-2.88,N/A,虎門科技,119.5,-19.26,11.348528015194683,2025-12,6791.TWO,2025,19.53,0.0
⚪ 數據不足,-1.49,-2.43,-63.3,-9.24,N/A,🌑 雙重衰退,-0.68,N/A,康那香,14.3500003815,-19.33,0.0,2025-12,9919.TW,2025,-8.87,-28.57
⚪ 中性觀察,2.21,3.77,109.50000000000001,11.78,N/A,📉 獲利侵蝕,-26.01,N/A,迎廣,85.3000030518,-19.43,11.68493192490411,2025-12,6117.TW,2025,11.06,-7.65
⚪ 中性觀察,3.18,5.11,179.4,11.23,N/A,📉 獲利侵蝕,-38.85,N/A,博弘,71.1999969482,-19.490000000000002,5.953177002357859,2025-12,6997.TWO,2025,7.39,-8.26
❌ 暫避觀望,19.9,41.98,1148.25,23.29,N/A,⚠️ 獲利稀釋,-27.04,N/A,群聯,2390.0,-19.509999999999998,31.22142390594383,2025-12,8299.TWO,2025,7.55,3.78
❌ 暫避觀望,1.25,2.3,67.5,-2.97,45.13%,🌑 雙重衰退,-44.93,17.87%,精湛,72.5999984741,-19.59,16.133332994244444,2025-12,2070.TWO,2025,-10.95,-22.56
⚪ 中性觀察,7.25,10.75,364.35,19.99,18.77%,⚠️ 獲利稀釋,7.57,15.81%,潤弘,156.0,-19.619999999999997,6.422396047756277,2025-12,2597.TW,2025,16.0,0.37
⚪ 中性觀察,4.41,6.18,221.4,15.04,N/A,📉 獲利侵蝕,-14.37,N/A,博大,122.0,-19.669999999999998,8.265582655826558,2025-12,8109.TWO,2025,9.06,-4.63
⚪ 中性觀察,2.46,3.18,111.75000000000001,-10.51,N/A,🌑 雙重衰退,-25.46,N/A,晶焱,81.8000030518,-19.78,10.979866181449664,2025-12,6411.TWO,2025,-9.94,-30.29
⚪ 中性觀察,2.65,3.59,129.75,27.05,N/A,⚠️ 獲利稀釋,6.94,N/A,創為精密,53.5999984741,-19.82,6.19653161550289,2025-12,6899.TWO,2025,24.69,7.23
⚪ 中性觀察,3.03,4.1,151.5,-4.71,N/A,🌑 雙重衰退,-35.26,N/A,寶成,25.9500007629,-19.919999999999998,2.569307006227723,2025-12,9904.TW,2025,-3.47,-24.63
⚪ 中性觀察,9.16,13.02,494.40000000000003,5.05,N/A,📉 獲利侵蝕,-12.51,N/A,來億-KY,154.5,-20.01,4.6875,2025-12,6890.TW,2025,8.16,-14.96
⚪ 中性觀察,14.33,20.1,732.9,3.15,30.19%,📉 獲利侵蝕,-20.3,19.16%,儒鴻,335.0,-20.09,6.856324191567745,2025-12,1476.TW,2025,5.39,-16.94
❌ 暫避觀望,0.94,1.54,48.900000000000006,5.64,31.33%,📉 獲利侵蝕,-42.24,12.18%,達邁,97.0,-20.169999999999998,29.754601226993863,2025-12,3645.TW,2025,8.42,-14.53
⚪ 中性觀察,7.64,11.21,381.90000000000003,-13.25,23.92%,🌑 雙重衰退,-38.09,18.94%,萬海,78.1999969482,-20.380000000000003,3.071484561987431,2025-12,2615.TW,2025,-11.06,-33.63
⚪ 中性觀察,5.84,7.78,306.45000000000005,-5.92,N/A,🌑 雙重衰退,-21.61,N/A,達爾膚,100.5,-20.479999999999997,4.9192364170337735,2025-12,6523.TWO,2025,-0.64,-26.4
❌ 暫避觀望,1.64,2.15,86.85,10.54,18.10%,📉 獲利侵蝕,3.14,4.42%,利機,90.4000015259,-20.58,15.61312634298791,2025-12,3444.TWO,2025,10.26,-10.04
⚪ 中性觀察,5.41,10.18,278.85,-4.74,N/A,🌑 雙重衰退,-29.25,N/A,裕慶-KY,162.0,-20.61,8.714362560516406,2025-12,6957.TW,2025,-6.88,-25.35
❌ 暫避觀望,0.98,1.18,43.949999999999996,0.36,N/A,📉 獲利侵蝕,-8.41,N/A,艾華,73.9000015259,-20.63,25.221843524197954,2025-12,6204.TWO,2025,3.67,-20.27
⚪ 數據不足,-1.14,-1.51,-59.7,27.53,1.54%,⚠️ 獲利稀釋,18.25,-34.06%,位速,22.75,-20.650000000000002,0.0,2025-12,3508.TWO,2025,42.64,6.88
⚪ 中性觀察,4.96,7.48,253.49999999999997,2.2,N/A,📉 獲利侵蝕,-30.26,N/A,力成,230.5,-20.66,13.63905325443787,2025-12,6239.TW,2025,-4.79,-18.46
⚪ 數據不足,-2.36,-2.16,-81.14999999999999,-45.66,-18.95%,🌑 雙重衰退,-161.36,-73.69%,隆銘綠能,10.4499998093,-20.75,0.0,2025-12,3018.TW,2025,-36.93,-66.41
⚪ 中性觀察,109.06,159.41,5591.4,2.84,47.97%,📉 獲利侵蝕,-15.56,36.75%,大立光,2575.0,-20.75,6.907930035411525,2025-12,3008.TW,2025,6.5,-17.91
⚪ 中性觀察,3.81,5.77,199.5,2.41,28.71%,📉 獲利侵蝕,-26.64,12.48%,友輝,72.1999969482,-20.76,5.428571199112781,2025-12,4933.TWO,2025,11.19,-18.35
⚪ 中性觀察,8.74,12.25,449.85,-6.57,N/A,🌑 雙重衰退,-18.99,N/A,豐祥-KY,153.5,-20.82,5.11837279093031,2025-12,5288.TW,2025,-7.59,-27.39
⚪ 中性觀察,4.34,6.33,214.04999999999998,45.1,N/A,⚠️ 獲利稀釋,60.59,N/A,創泓科技,130.0,-20.84,9.110021023125439,2025-12,7714.TWO,2025,55.99,24.26
⚪ 中性觀察,52.62,72.7,2596.8,66.0,N/A,⚠️ 獲利稀釋,40.25,N/A,祥碩,1370.0,-20.85,7.91358595194085,2025-12,5269.TW,2025,60.07,45.15
⚪ 中性觀察,2.89,3.81,150.3,-11.82,44.64%,🌑 雙重衰退,-27.93,12.42%,曜亞,55.2999992371,-20.869999999999997,5.518961999710578,2025-12,4138.TWO,2025,-12.22,-32.69
⚪ 中性觀察,3.95,5.28,196.05,5.34,32.18%,📉 獲利侵蝕,-13.57,14.07%,晶技,163.0,-20.91,12.471308339709257,2025-12,3042.TW,2025,7.28,-15.57
❌ 暫避觀望,0.32,0.7,12.15,-19.66,28.61%,🌑 雙重衰退,-56.16,8.69%,微端,28.5499992371,-21.02,35.24691263839506,2025-12,3285.TWO,2025,-24.68,-40.68
⚪ 中性觀察,4.07,6.71,215.10000000000002,-1.89,N/A,🌑 雙重衰退,18.54,N/A,中美晶,152.0,-21.13,10.599721059972104,2025-12,5483.TWO,2025,-1.72,-23.02
⚪ 中性觀察,1.77,2.27,88.64999999999999,3.73,N/A,📉 獲利侵蝕,-8.29,N/A,志超,37.9000015259,-21.18,6.412859818257193,2025-12,8213.TW,2025,1.46,-17.45
❌ 暫避觀望,3.09,4.99,162.6,2.53,32.82%,📉 獲利侵蝕,-30.87,27.31%,精材,206.0,-21.39,19.00369003690037,2025-12,3374.TWO,2025,-1.5,-18.86
⚪ 中性觀察,8.01,9.05,366.00000000000006,-5.73,16.76%,🌑 雙重衰退,-12.04,6.72%,群光,131.0,-21.5,5.368852459016393,2025-12,2385.TW,2025,-3.53,-27.23
⚪ 中性觀察,3.44,4.18,154.04999999999998,21.03,N/A,📉 獲利侵蝕,3.3,N/A,三聯,87.3000030518,-21.51,8.500487152074003,2025-12,5493.TWO,2025,22.78,-0.48
⚪ 中性觀察,1.66,2.13,81.75,-9.51,19.71%,🌑 雙重衰退,-41.75,12.02%,美亞,21.8500003815,-21.560000000000002,4.009174381926605,2025-12,2020.TW,2025,-8.33,-31.07
⚪ 中性觀察,1.78,2.52,94.64999999999999,-4.59,N/A,🌑 雙重衰退,-28.8,N/A,日揚,76.5,-21.73,12.123613312202853,2025-12,6208.TWO,2025,-6.36,-26.32
⚪ 中性觀察,1.22,1.56,61.2,-0.23,12.48%,🌑 雙重衰退,-13.48,4.05%,廣宇,53.5999984741,-21.77,13.137254527965686,2025-12,2328.TW,2025,4.37,-22.0
⚪ 中性觀察,1.72,2.73,91.95,-1.73,N/A,🌑 雙重衰退,-32.02,N/A,正基,65.6999969482,-21.8,10.717780905089722,2025-12,6546.TWO,2025,-1.49,-23.53
❌ 暫避觀望,0.91,2.48,70.05,-31.16,N/A,🌑 雙重衰退,-75.62,N/A,榮田,88.3000030518,-21.830000000000002,18.90792356569593,2025-12,7709.TWO,2025,-37.61,-52.99
⚪ 數據不足,-0.75,-0.96,-39.300000000000004,6.3,12.86%,📉 獲利侵蝕,-2.74,-5.35%,建舜電,13.4499998093,-21.96,0.0,2025-12,3322.TWO,2025,10.72,-15.66
❌ 暫避觀望,3.01,4.31,156.45,-0.53,27.05%,🌑 雙重衰退,-35.13,4.85%,上銀,318.0,-22.09,30.48897411313519,2025-12,2049.TW,2025,-1.42,-22.62
⚪ 中性觀察,22.41,32.84,1092.9,7.77,34.25%,📉 獲利侵蝕,-27.07,20.51%,玉晶光,513.0,-22.14,7.040900356848751,2025-12,3406.TW,2025,0.68,-14.37
⚪ 數據不足,-5.76,-7.24,-281.84999999999997,43.24,N/A,⚠️ 獲利稀釋,10.97,N/A,益安,81.0999984741,-22.160000000000004,0.0,2025-12,6499.TWO,2025,41.35,21.08
⚪ 數據不足,1.05,1.44,0.0,28.36,N/A,⚠️ 獲利稀釋,41.89,N/A,宏�砦C戲-創,0.0,-22.48,0.0,2025-12,6908.TW,2025,28.6,5.88
❌ 暫避觀望,10.68,15.29,533.6999999999999,-3.24,N/A,🌑 雙重衰退,-45.48,N/A,環球晶,793.0,-22.5,22.28780213603148,2025-12,6488.TWO,2025,-0.4,-25.74
⚪ 中性觀察,1.44,2.35,93.0,1.36,N/A,📉 獲利侵蝕,-32.39,N/A,諾貝兒,63.4000015259,-22.5,10.225806697725806,2025-12,6844.TWO,2025,1.48,-21.14
⚪ 中性觀察,3.57,5.42,184.20000000000002,-6.13,N/A,🌑 雙重衰退,-47.73,N/A,博盛半導體,122.5,-22.55,9.97557003257329,2025-12,7712.TWO,2025,-6.32,-28.68
⚪ 中性觀察,6.02,8.29,310.5,2.98,N/A,📉 獲利侵蝕,-29.18,N/A,三集瑞-KY,184.0,-22.57,8.88888888888889,2025-12,6862.TW,2025,7.33,-19.59
⚪ 中性觀察,1.54,2.18,82.35000000000001,-5.0,N/A,🌑 雙重衰退,-45.77,N/A,華宏,68.6999969482,-22.57,12.513660646302366,2025-12,8240.TWO,2025,-1.21,-27.57
❌ 暫避觀望,2.48,3.92,133.5,3.86,N/A,📉 獲利侵蝕,-33.88,N/A,科定,138.0,-22.58,15.50561797752809,2025-12,6655.TW,2025,1.29,-18.72
⚪ 數據不足,-1.29,-2.15,-66.3,-51.34,19.82%,🌑 雙重衰退,-74.32,-262.93%,鴻華先進-創,28.2999992371,-22.64,0.0,2025-12,2258.TW,2025,-48.42,-73.98
❌ 暫避觀望,1.51,2.0,76.35,-3.02,N/A,🌑 雙重衰退,-32.58,N/A,詮欣,90.6999969482,-22.64,17.81925283854617,2025-12,6205.TW,2025,-0.59,-25.66
⚪ 中性觀察,5.79,6.9,274.95000000000005,13.67,N/A,📉 獲利侵蝕,-0.69,N/A,宸曜,192.0,-22.66,10.474631751227495,2025-12,6922.TWO,2025,24.0,-8.99
