🚀 智能量化選股報告 - 2026-03-16
==========================================================================================

【🚀超級強勢】(數量: 191)
------------------------------------------------------------------------------------------
3563.TW  | 牧德         | B6: 12.35% | DMA:105.910 | 💎流入 | 🚀DMA趨勢+多頭強勢
7730.TW  | 暉盛-創       | B6: 15.21% | DMA: 20.940 | 💎流入 | 🔥高檔轉折(警示)
3645.TW  | 達邁         | B6: 14.64% | DMA: 11.352 | 💎流入 | 🔥高檔轉折(警示)
4764.TW  | 雙鍵         | B6: 14.12% | DMA: 18.320 | 💸流出 | 🔥高檔轉折(警示)
8039.TW  | 台虹         | B6: 14.07% | DMA: 18.666 | 💎流入 | 🔥高檔轉折(警示)
1310.TW  | 台苯         | B6: 14.04% | DMA:  1.633 | 💎流入 | 🔥高檔轉折(警示)
6225.TW  | 天瀚         | B6: 13.82% | DMA:  3.498 | 💎流入 | 🔥高檔轉折(警示)
3163.TWO | 波若威        | B6: 13.69% | DMA:256.650 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3481.TW  | 群創         | B6: 13.68% | DMA:  4.828 | 💸流出 | 🔥高檔轉折(警示)
2360.TW  | 致茂         | B6: 13.62% | DMA:336.680 | 💎流入 | 🔥高檔轉折(警示)
3535.TW  | 晶彩科        | B6: 13.57% | DMA: 25.228 | 💸流出 | 🔥高檔轉折(警示)
3092.TW  | 鴻碩         | B6: 13.49% | DMA:  6.503 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4989.TW  | 榮科         | B6: 13.43% | DMA: 10.117 | 💎流入 | 🔥高檔轉折(警示)
7740.TW  | 熙特爾-創      | B6: 13.24% | DMA: 26.650 | 💎流入 | 🔥高檔轉折(警示)
2338.TW  | 光罩         | B6: 13.20% | DMA:  8.849 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5011.TWO | 久陽         | B6: 13.19% | DMA:  2.577 | 💸流出 | 🔥高檔轉折(警示)
2601.TW  | 益航         | B6: 13.06% | DMA:  0.820 | 💸流出 | 🔥高檔轉折(警示)
8271.TW  | 宇瞻         | B6: 10.83% | DMA: 16.760 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5289.TWO | 宜鼎         | B6: 10.13% | DMA:161.600 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6640.TWO | 均華         | B6:  9.81% | DMA:122.280 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1735.TW  | 日勝化        | B6:  9.46% | DMA:  2.564 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4973.TWO | 廣穎         | B6:  8.54% | DMA:  4.814 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6874.TWO | 倍力         | B6:  8.06% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
1711.TW  | 永光         | B6:  7.73% | DMA:  4.961 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2243.TW  | 宏旭-KY      | B6:  7.20% | DMA:  1.436 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6727.TWO | 亞泰金屬       | B6:  6.79% | DMA: 31.050 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3702.TW  | 大聯大        | B6:  6.52% | DMA:  7.230 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3037.TW  | 欣興         | B6:  6.49% | DMA:115.840 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3066.TWO | 李洲         | B6:  5.92% | DMA:  1.457 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3555.TWO | 博士旺        | B6:  5.71% | DMA: 27.802 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2640.TWO | 大車隊        | B6:  4.66% | DMA:  3.570 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6103.TWO | 合邦         | B6:  4.39% | DMA:  2.249 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6197.TW  | 佳必琪        | B6:  4.04% | DMA:  9.190 | 💎流入 | 🔥高檔轉折(警示)
2357.TW  | 華碩         | B6:  4.01% | DMA: 18.930 | 💎流入 | 🔥高檔轉折(警示)
00875.TW | 國泰網路資安     | B6:  3.99% | DMA:  0.258 | 💎流入 | 🔥高檔轉折(警示)
6574.TWO | 霈方         | B6:  3.20% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
8064.TWO | 東捷         | B6:  3.18% | DMA:  0.974 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3260.TWO | 威剛         | B6:  3.01% | DMA: 18.320 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2393.TW  | 億光         | B6:  2.79% | DMA:  3.300 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1340.TW  | 勝悅-KY      | B6:  2.76% | DMA:  0.104 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8240.TWO | 華宏         | B6:  2.54% | DMA:  1.316 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6924.TW  | 榮惠-KY創     | B6:  2.52% | DMA: -2.714 | 💎流入 | ⚠️高檔過熱
7738.TWO | 東聯互動       | B6:  2.19% | DMA:  1.660 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7805.TWO | 威聯通        | B6:  1.75% | DMA: -1.720 | 💎流入 | ⚠️高檔過熱
9917.TW  | 中保科        | B6:  1.26% | DMA:  1.010 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8076.TWO | 伍豐         | B6:  1.21% | DMA:  0.001 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9933.TW  | 中鼎         | B6:  1.08% | DMA:  0.119 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3010.TW  | 華立         | B6:  1.08% | DMA:  6.210 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5351.TWO | 鈺創         | B6:  1.03% | DMA:  0.054 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2851.TW  | 中再保        | B6:  0.93% | DMA:  0.752 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2414.TW  | 精技         | B6:  0.84% | DMA:  0.998 | 💎流入 | 🔥高檔轉折(警示)
1210.TW  | 大成         | B6:  0.74% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
00864B.TWO | 中信美國公債0-1  | B6:  0.68% | DMA:  0.466 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2520.TW  | 冠德         | B6:  0.57% | DMA: -0.536 | 💎流入 | 🔥高檔轉折(警示)
1218.TW  | 泰山         | B6:  0.52% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
4956.TW  | 光鋐         | B6:  0.46% | DMA:  2.865 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3580.TWO | 友威科        | B6:  0.42% | DMA: -0.142 | 💎流入 | 🔥高檔轉折(警示)
8096.TWO | 擎亞         | B6:  0.28% | DMA:  8.499 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8016.TW  | 矽創         | B6:  0.23% | DMA:  3.920 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3437.TW  | 榮創         | B6:  0.19% | DMA:  0.786 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4744.TWO | 皇將         | B6:  0.14% | DMA:  1.493 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2451.TW  | 創見         | B6:  0.02% | DMA: -3.880 | 💎流入 | ⚠️高檔過熱
2903.TW  | 遠百         | B6: -0.19% | DMA:  0.373 | 💎流入 | 🔥高檔轉折(警示)
3663.TWO | 鑫科         | B6: -0.28% | DMA:  1.509 | 💎流入 | 🔥高檔轉折(警示)
5548.TWO | 安倉         | B6: -0.39% | DMA: -0.336 | 💎流入 | ⚠️高檔過熱
6167.TWO | 久正         | B6: -0.43% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
4721.TWO | 美琪瑪        | B6: -0.56% | DMA: -1.672 | 💎流入 | ⚠️高檔過熱
8383.TWO | 千附         | B6: -0.70% | DMA: -0.237 | 💎流入 | 🔥高檔轉折(警示)
6451.TW  | 訊芯-KY      | B6: -0.70% | DMA: 23.320 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6226.TW  | 光鼎         | B6: -0.72% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
6170.TWO | 統振         | B6: -0.75% | DMA: -0.528 | 💎流入 | ⚠️高檔過熱
2465.TW  | 麗臺         | B6: -0.84% | DMA: -3.096 | 💎流入 | ⚠️高檔過熱
9941.TW  | 裕融         | B6: -0.88% | DMA: -4.324 | 💎流入 | ⚠️高檔過熱
8923.TWO | 時報         | B6: -0.90% | DMA: -0.132 | 💎流入 | 🔥高檔轉折(警示)
6565.TWO | 物聯         | B6: -0.97% | DMA: -0.769 | 💸流出 | ⚠️高檔過熱
5706.TW  | 鳳凰         | B6: -1.17% | DMA: -0.736 | 💎流入 | ⚠️高檔過熱
6121.TWO | 新普         | B6: -1.18% | DMA:-15.610 | 💎流入 | 🔥高檔轉折(警示)
6965.TW  | 中傑-KY      | B6: -1.18% | DMA: -2.870 | 💎流入 | 🔥高檔轉折(警示)
2453.TW  | 凌群         | B6: -1.19% | DMA: -1.538 | 💎流入 | ⚠️高檔過熱
8462.TW  | 柏文         | B6: -1.20% | DMA: -5.430 | 💎流入 | ⚠️高檔過熱
3088.TWO | 艾訊         | B6: -1.24% | DMA: -0.942 | 💎流入 | 🔥高檔轉折(警示)
6904.TWO | 伯鑫         | B6: -1.25% | DMA:  1.570 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00637L.TW | 元大滬深300正2  | B6: -1.33% | DMA: -0.872 | 💎流入 | ⚠️高檔過熱
00655L.TW | CATHAY SECS INV TRUST CO LTD FT | B6: -1.49% | DMA: -1.582 | 💎流入 | ⚠️高檔過熱
00633L.TW | 富邦上証正2     | B6: -1.60% | DMA: -2.250 | 💎流入 | ⚠️高檔過熱
2425.TW  | 承啟         | B6: -1.74% | DMA: -1.586 | 💎流入 | ⚠️高檔過熱
4303.TWO | 信立         | B6: -1.76% | DMA: -3.092 | 💎流入 | ⚠️高檔過熱
2436.TW  | 偉詮電        | B6: -1.88% | DMA:  3.883 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8070.TW  | 長華*        | B6: -1.93% | DMA: -2.229 | 💎流入 | 🔥高檔轉折(警示)
8027.TWO | 鈦昇         | B6: -1.99% | DMA: -6.044 | 💎流入 | ⚠️高檔過熱
6168.TW  | 宏齊         | B6: -2.32% | DMA: -0.459 | 💎流入 | ⚠️高檔過熱
2351.TW  | 順德         | B6: -2.55% | DMA:  1.024 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8349.TWO | �矬�        | B6: -2.68% | DMA: -2.176 | 💎流入 | ⚠️高檔過熱
6929.TWO | 佑全         | B6: -2.98% | DMA: -0.844 | 💎流入 | 🔥高檔轉折(警示)
3546.TWO | 宇峻         | B6: -2.99% | DMA: -6.092 | 💎流入 | ⚠️高檔過熱
6175.TWO | 立敦         | B6: -3.02% | DMA: -4.492 | 💎流入 | ⚠️高檔過熱
1808.TW  | 潤隆         | B6: -3.05% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
00700.TW | 富邦�琤肭磪�    | B6: -3.27% | DMA: -0.878 | 💎流入 | 🔥高檔轉折(警示)
2348.TW  | 海悅         | B6: -3.36% | DMA: -5.414 | 💎流入 | ⚠️高檔過熱
6499.TWO | 益安         | B6: -3.56% | DMA: -4.896 | 💎流入 | 🔥高檔轉折(警示)
1721.TW  | 三晃         | B6: -3.58% | DMA:  0.056 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00752.TW | 中信中國50     | B6: -3.62% | DMA: -1.662 | 💎流入 | 🔥高檔轉折(警示)
3406.TW  | 玉晶光        | B6: -4.21% | DMA:-24.120 | 💎流入 | 🔥高檔轉折(警示)
6855.TWO | 數泓科        | B6: -4.22% | DMA: -3.250 | 💎流入 | 🔥高檔轉折(警示)
1799.TWO | 易威         | B6: -4.44% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
3040.TW  | 遠見         | B6: -4.49% | DMA: -6.422 | 💎流入 | ⚠️高檔過熱
8088.TWO | 品安         | B6: -4.92% | DMA: -3.618 | 💎流入 | 🔥高檔轉折(警示)
8996.TW  | 高力         | B6: -4.93% | DMA: 72.600 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6265.TWO | 方土昶        | B6: -5.15% | DMA: -2.018 | 💎流入 | 🔥高檔轉折(警示)
8464.TW  | 億豐         | B6: -5.50% | DMA:-17.230 | 💎流入 | 🔥高檔轉折(警示)
3006.TW  | 晶豪科        | B6: -5.54% | DMA:  4.386 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8155.TWO | 博智         | B6: -5.79% | DMA:  1.920 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00665L.TW | 富邦恒生國企正2   | B6: -6.83% | DMA: -1.089 | 💎流入 | 🔥高檔轉折(警示)
3550.TW  | 聯穎         | B6: -6.88% | DMA:  0.570 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00753L.TW | 中信中國50正2   | B6: -7.05% | DMA: -1.432 | 💎流入 | 🔥高檔轉折(警示)
8102.TWO | 傑霖科技       | B6: -8.30% | DMA: -6.880 | 💸流出 | 🔥高檔轉折(警示)
2230.TWO | 泰茂         | B6:-33.32% | DMA:-38.770 | 💎流入 | ⚠️高檔過熱
