🚀 智能量化選股報告 - 2026-03-20
==========================================================================================

【🚀超級強勢】(數量: 127)
------------------------------------------------------------------------------------------
6568.TWO | 宏觀         | B6: 12.12% | DMA: 37.750 | 💎流入 | 🚀DMA趨勢+多頭強勢
3135.TW  | 凌航         | B6:  1.02% | DMA:  7.822 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6438.TW  | 迅得         | B6:  0.82% | DMA:  4.090 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2504.TW  | 國產         | B6:  0.66% | DMA:  0.585 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6214.TW  | 精誠         | B6:  0.57% | DMA: -2.770 | 💎流入 | ⚠️高檔過熱
00990A.TW | 主動元大AI新經濟  | B6:  0.34% | DMA:  0.687 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00982A.TW | 主動群益台灣強棒   | B6:  0.00% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
4766.TW  | 南寶         | B6: -0.05% | DMA:  1.670 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6762.TWO | 達亞         | B6: -0.13% | DMA: -3.750 | 💎流入 | ⚠️高檔過熱
6584.TWO | 南俊國際       | B6: -0.60% | DMA: 45.830 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3221.TWO | 台嘉碩        | B6: -0.83% | DMA:  2.360 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2724.TWO | 藝舍-KY      | B6: -1.13% | DMA: -0.421 | 💸流出 | ⚠️高檔過熱
3050.TW  | 鈺德         | B6: -1.20% | DMA: -0.536 | 💎流入 | ⚠️高檔過熱
2105.TW  | 正新         | B6: -1.27% | DMA: -0.840 | 💎流入 | 🔥高檔轉折(警示)
2461.TW  | 光群雷        | B6: -1.72% | DMA: -0.477 | 💎流入 | 🔥高檔轉折(警示)
3057.TW  | 喬鼎         | B6: -1.74% | DMA: -1.917 | 💎流入 | ⚠️高檔過熱
2349.TW  | 錸德         | B6: -1.80% | DMA: -0.772 | 💎流入 | ⚠️高檔過熱
3236.TWO | 千如         | B6: -2.13% | DMA: -1.774 | 💎流入 | 🔥高檔轉折(警示)
8102.TWO | 傑霖科技       | B6: -2.16% | DMA: -4.958 | 💎流入 | ⚠️高檔過熱
3372.TWO | 典範         | B6: -2.34% | DMA: -0.689 | 💎流入 | 🔥高檔轉折(警示)
6270.TWO | 倍微         | B6: -2.68% | DMA: -1.023 | 💎流入 | 🔥高檔轉折(警示)
8059.TWO | 凱碩         | B6: -2.77% | DMA: -1.655 | 💎流入 | ⚠️高檔過熱
7711.TW  | 永擎         | B6: -2.81% | DMA:-15.380 | 💎流入 | ⚠️高檔過熱
3443.TW  | 創意         | B6: -3.06% | DMA:-95.800 | 💎流入 | 🔥高檔轉折(警示)
5439.TWO | 高技         | B6: -3.34% | DMA:-22.840 | 💎流入 | ⚠️高檔過熱
8033.TW  | 雷虎         | B6: -3.50% | DMA: -5.070 | 💎流入 | 🔥高檔轉折(警示)
6284.TWO | 佳邦         | B6: -4.18% | DMA: -6.204 | 💎流入 | 🔥高檔轉折(警示)
3060.TW  | 銘異         | B6: -4.63% | DMA: -2.541 | 💎流入 | 🔥高檔轉折(警示)
6588.TWO | 東典光電       | B6: -4.99% | DMA: 15.945 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7717.TWO | 萊德光電-KY    | B6: -6.14% | DMA: 65.680 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1805.TW  | 寶徠         | B6: -6.57% | DMA: -1.097 | 💎流入 | 🔥高檔轉折(警示)
3587.TWO | 閎康         | B6: -6.68% | DMA: -5.923 | 💎流入 | 🔥高檔轉折(警示)
6442.TW  | 光聖         | B6: -9.15% | DMA:122.800 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
