🚀 智能量化選股報告 - 2026-03-19
==========================================================================================

【🚀超級強勢】(數量: 135)
------------------------------------------------------------------------------------------
2360.TW  | 致茂         | B6: 12.79% | DMA:339.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
00952.TW | 凱基台灣AI50   | B6:  1.17% | DMA:  0.325 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6190.TWO | 萬泰科        | B6:  1.05% | DMA:  0.893 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00947.TW | 台新臺灣IC設計   | B6:  0.99% | DMA:  1.120 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3033.TW  | 威健         | B6:  0.74% | DMA:  0.425 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4905.TWO | 台聯電        | B6:  0.73% | DMA:  2.630 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1449.TW  | 佳和         | B6:  0.62% | DMA: -0.268 | 💎流入 | ⚠️高檔過熱
6139.TW  | 亞翔         | B6:  0.52% | DMA:-15.980 | 💎流入 | ⚠️高檔過熱
3526.TWO | 凡甲         | B6:  0.46% | DMA: 20.380 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6127.TWO | 九豪         | B6:  0.41% | DMA:  0.109 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4967.TW  | 十銓         | B6:  0.37% | DMA: -0.240 | 💎流入 | ⚠️高檔過熱
00904.TW | 新光臺灣半導體30  | B6:  0.22% | DMA:  1.607 | 💎流入 | 🔥高檔轉折(警示)
3045.TW  | 台灣大        | B6:  0.14% | DMA:  0.490 | 💎流入 | 🔥高檔轉折(警示)
6672.TW  | 騰輝電子-KY    | B6:  0.02% | DMA:  2.238 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00982A.TW | 主動群益台灣強棒   | B6:  0.00% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
1323.TW  | 永裕         | B6: -0.02% | DMA: -0.179 | 💎流入 | ⚠️高檔過熱
00990A.TW | 主動元大AI新經濟  | B6: -0.06% | DMA:  0.666 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2472.TW  | 立隆電        | B6: -0.23% | DMA:  0.640 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3406.TW  | 玉晶光        | B6: -0.43% | DMA:-15.330 | 💎流入 | 🔥高檔轉折(警示)
00735.TW | 國泰臺韓科技     | B6: -0.54% | DMA:  4.909 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3135.TW  | 凌航         | B6: -0.64% | DMA:  5.570 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3703.TW  | 欣陸         | B6: -0.80% | DMA: -0.448 | 💎流入 | ⚠️高檔過熱
4958.TW  | 臻鼎-KY      | B6: -1.72% | DMA: 10.600 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3530.TW  | 晶相光        | B6: -2.07% | DMA: -8.276 | 💎流入 | ⚠️高檔過熱
6485.TWO | 點序         | B6: -2.33% | DMA:-10.146 | 💎流入 | ⚠️高檔過熱
6584.TWO | 南俊國際       | B6: -2.35% | DMA: 36.600 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9105.TW  | 泰金寶-DR     | B6: -2.39% | DMA: -0.279 | 💎流入 | 🔥高檔轉折(警示)
2461.TW  | 光群雷        | B6: -2.69% | DMA: -0.538 | 💎流入 | 🔥高檔轉折(警示)
5468.TWO | 凱鈺         | B6: -3.10% | DMA: -1.416 | 💎流入 | ⚠️高檔過熱
3057.TW  | 喬鼎         | B6: -3.32% | DMA: -2.294 | 💎流入 | ⚠️高檔過熱
3236.TWO | 千如         | B6: -3.99% | DMA: -2.092 | 💎流入 | 🔥高檔轉折(警示)
3443.TW  | 創意         | B6: -4.30% | DMA:-110.000 | 💎流入 | 🔥高檔轉折(警示)
3689.TWO | 湧德         | B6: -4.31% | DMA: -7.720 | 💎流入 | 🔥高檔轉折(警示)
8102.TWO | 傑霖科技       | B6: -4.46% | DMA: -5.694 | 💎流入 | ⚠️高檔過熱
6426.TW  | 統新         | B6: -5.02% | DMA: 23.992 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6274.TWO | 台燿         | B6: -5.04% | DMA: -4.680 | 💎流入 | 🔥高檔轉折(警示)
7711.TW  | 永擎         | B6: -5.63% | DMA:-20.210 | 💎流入 | ⚠️高檔過熱
6284.TWO | 佳邦         | B6: -5.64% | DMA: -6.578 | 💎流入 | 🔥高檔轉折(警示)
8358.TWO | 金居         | B6: -6.54% | DMA:-17.630 | 💎流入 | 🔥高檔轉折(警示)
