        股號                         名稱      收盤價        狀態                                  原因
   9921.TW                         巨大    71.60      均線糾纏      MA5/10/20 乖離率僅 0.83%，移動平均線高度重合
  6640.TWO                         均華  1390.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2451.TW                         創見   230.00      進入盤整    ADX 指標為 15.44 (低於 20)，市場目前缺乏推升動能
  3526.TWO                         凡甲   282.00      均線糾纏      MA5/10/20 乖離率僅 0.91%，移動平均線高度重合
   2010.TW                         春源    25.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6199.TWO                         天品   108.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00770.TW                     國泰北美科技    49.95      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
  3234.TWO                         光環    86.30      進入盤整     ADX 指標為 8.35 (低於 20)，市場目前缺乏推升動能
   2516.TW                         新建    13.55      均線糾纏      MA5/10/20 乖離率僅 0.73%，移動平均線高度重合
00795B.TWO                  中信美國公債20年    27.63      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
   2302.TW                         麗正    17.70      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
   6957.TW                      裕慶-KY   160.50      均線糾纏      MA5/10/20 乖離率僅 1.16%，移動平均線高度重合
   3025.TW                         星通    58.30      均線糾纏      MA5/10/20 乖離率僅 1.22%，移動平均線高度重合
  5011.TWO                         久陽    13.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4417.TWO                         金洲    50.70      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
  4406.TWO                        新昕纖    10.10      均線糾纏      MA5/10/20 乖離率僅 0.15%，移動平均線高度重合
  8234.TWO                         新漢    61.10      進入盤整    ADX 指標為 13.57 (低於 20)，市場目前缺乏推升動能
  7714.TWO                       創泓科技   131.00      均線糾纏      MA5/10/20 乖離率僅 0.72%，移動平均線高度重合
   1432.TW                        大魯閣    17.45      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   3661.TW                      世芯-KY  2730.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3033.TW                         威健    32.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00646.TW                   元大S&P500    65.75      均線糾纏      MA5/10/20 乖離率僅 0.86%，移動平均線高度重合
   6592.TW                       和潤企業    63.10      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
  6953.TWO                         家碩   213.00      均線糾纏      MA5/10/20 乖離率僅 0.27%，移動平均線高度重合
   2314.TW                         台揚    18.80      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
   6451.TW                      訊芯-KY   305.00      進入盤整    ADX 指標為 10.03 (低於 20)，市場目前缺乏推升動能
  8084.TWO                         巨虹    45.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3308.TW                         聯德    20.70      進入盤整    ADX 指標為 16.66 (低於 20)，市場目前缺乏推升動能
  00700.TW                    富邦�琤肭磪�    17.40      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   2038.TW                         海光    15.50      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
   3712.TW                       永崴投控    21.85      均線糾纏      MA5/10/20 乖離率僅 0.74%，移動平均線高度重合
  4123.TWO                         晟德    42.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4973.TWO                         廣穎    67.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4728.TWO                         雙美   387.00      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
   4137.TW                      麗豐-KY   105.50      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   2739.TW                         寒舍    34.10      均線糾纏      MA5/10/20 乖離率僅 0.07%，移動平均線高度重合
00720B.TWO                   元大投資級公司債    33.48      均線糾纏      MA5/10/20 乖離率僅 0.13%，移動平均線高度重合
   5225.TW                      東科-KY    78.80 離開盤整 (向下)       收盤價 78.80 跌破布林下軌 (79.13)，趨勢轉弱
   1438.TW                       三地開發    28.05      均線糾纏      MA5/10/20 乖離率僅 1.35%，移動平均線高度重合
  4305.TWO                         世坤    43.95      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
  4413.TWO                       飛寶企業    18.10      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
   4927.TW                      泰鼎-KY    41.45      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3221.TWO                        台嘉碩    38.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00830.TW                    國泰費城半導體    54.10      均線糾纏      MA5/10/20 乖離率僅 0.62%，移動平均線高度重合
   8150.TW                         南茂    55.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6438.TW                         迅得   172.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2359.TW                        所羅門   111.00      均線糾纏      MA5/10/20 乖離率僅 1.44%，移動平均線高度重合
   2891.TW                        中信金    53.70      均線糾纏      MA5/10/20 乖離率僅 0.46%，移動平均線高度重合
   6706.TW                         惠特   115.00      均線糾纏      MA5/10/20 乖離率僅 0.21%，移動平均線高度重合
   2455.TW                         全新   263.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6151.TWO                         晉倫    33.55 離開盤整 (向上)     收盤價 33.55 強勢突破布林上軌 (32.26)，趨勢轉強
  5478.TWO                         智冠   100.50      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
  8111.TWO                        立��    60.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2492.TW                        華新科   118.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2347.TW                         聯強    77.50      進入盤整    ADX 指標為 11.06 (低於 20)，市場目前缺乏推升動能
  3531.TWO                         先益    21.55      均線糾纏      MA5/10/20 乖離率僅 0.38%，移動平均線高度重合
00981B.TWO                   第一金優選非投債     9.29      均線糾纏      MA5/10/20 乖離率僅 0.02%，移動平均線高度重合
  3252.TWO                         海灣    19.85      均線糾纏      MA5/10/20 乖離率僅 0.06%，移動平均線高度重合
   2332.TW                         友訊    15.35      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
   6789.TW                         采鈺   318.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2404.TW                         漢唐   834.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1722.TW                         台肥    46.10      均線糾纏      MA5/10/20 乖離率僅 0.67%，移動平均線高度重合
   4916.TW                        事欣科    57.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00953B.TW                   群益優選非投等債     9.69      均線糾纏      MA5/10/20 乖離率僅 0.02%，移動平均線高度重合
  3093.TWO                        港建*    48.35      進入盤整    ADX 指標為 16.71 (低於 20)，市場目前缺乏推升動能
   7822.TW                        倍利科  1545.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8076.TWO                         伍豐    24.00      均線糾纏      MA5/10/20 乖離率僅 1.29%，移動平均線高度重合
  6482.TWO                        弘煜科    31.35      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
00724B.TWO                   群益投資級金融債    34.22      均線糾纏      MA5/10/20 乖離率僅 0.25%，移動平均線高度重合
00969B.TWO                   元大零息超長美債     8.55      均線糾纏      MA5/10/20 乖離率僅 0.29%，移動平均線高度重合
   1418.TW                         東華    18.55      均線糾纏      MA5/10/20 乖離率僅 0.40%，移動平均線高度重合
  6138.TWO                         茂達   214.00      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
 00663L.TW                   國泰臺灣加權正2    60.15      均線糾纏      MA5/10/20 乖離率僅 1.14%，移動平均線高度重合
   6965.TW                      中傑-KY    86.10      均線糾纏      MA5/10/20 乖離率僅 1.27%，移動平均線高度重合
  7812.TWO                      稜研科技*    82.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2923.TW                      鼎固-KY    17.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8477.TWO                        創業家    13.80      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
  8936.TWO                         國統    50.90      均線糾纏      MA5/10/20 乖離率僅 0.92%，移動平均線高度重合
   1453.TW                         大將    12.05      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  6508.TWO                         惠光    27.95      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
  8097.TWO                         常珵    55.50      均線糾纏      MA5/10/20 乖離率僅 0.94%，移動平均線高度重合
   1538.TW                         正峰    12.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4543.TWO                         萬在    33.35      進入盤整    ADX 指標為 15.59 (低於 20)，市場目前缺乏推升動能
   2466.TW                        冠西電    46.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2612.TW                         中航    54.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
00740B.TWO                    富邦全球投等債    38.94      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   2367.TW                         燿華    74.50      進入盤整    ADX 指標為 17.98 (低於 20)，市場目前缺乏推升動能
  3131.TWO                         弘塑  2930.00      進入盤整    ADX 指標為 13.87 (低於 20)，市場目前缺乏推升動能
  2230.TWO                         泰茂    31.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2426.TW                         鼎元    34.85      進入盤整    ADX 指標為 12.15 (低於 20)，市場目前缺乏推升動能
  1796.TWO                       金穎生技    37.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3031.TW                         佰鴻    22.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3675.TWO                         德微   184.00      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
  8431.TWO                        匯鑽科    58.80      進入盤整    ADX 指標為 19.49 (低於 20)，市場目前缺乏推升動能
   3189.TW                         景碩   332.00      進入盤整    ADX 指標為 17.23 (低於 20)，市場目前缺乏推升動能
   2206.TW                       三陽工業    59.30      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
  3122.TWO                         笙泉    25.10      均線糾纏      MA5/10/20 乖離率僅 1.42%，移動平均線高度重合
  8937.TWO                         合騏    36.38      均線糾纏      MA5/10/20 乖離率僅 1.37%，移動平均線高度重合
  6486.TWO                         互動    86.10      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
   2030.TW                         彰源    16.00      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
   2881.TW                        富邦金    87.80      均線糾纏      MA5/10/20 乖離率僅 0.46%，移動平均線高度重合
   6928.TW                       攸泰科技    47.30      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
   3443.TW                         創意  2355.00      進入盤整    ADX 指標為 18.70 (低於 20)，市場目前缺乏推升動能
  5328.TWO                         華容    23.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00952.TW                   凱基台灣AI50    12.83      均線糾纏      MA5/10/20 乖離率僅 0.52%，移動平均線高度重合
   2329.TW                         華泰    50.50      進入盤整    ADX 指標為 16.50 (低於 20)，市場目前缺乏推升動能
  6163.TWO                        華電網    62.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2316.TW                        楠梓電    99.50      均線糾纏      MA5/10/20 乖離率僅 1.50%，移動平均線高度重合
  7547.TWO                         碩網    85.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6244.TWO                         茂迪    26.45      進入盤整    ADX 指標為 18.94 (低於 20)，市場目前缺乏推升動能
   2834.TW                        臺企銀    15.20      均線糾纏      MA5/10/20 乖離率僅 0.14%，移動平均線高度重合
   2022.TW                         聚亨     9.00      均線糾纏      MA5/10/20 乖離率僅 0.68%，移動平均線高度重合
  8088.TWO                         品安    51.20      進入盤整     ADX 指標為 8.50 (低於 20)，市場目前缺乏推升動能
   1310.TW                         台苯    10.90      均線糾纏      MA5/10/20 乖離率僅 0.59%，移動平均線高度重合
  2072.TWO                        CWP   185.00 離開盤整 (向下)     收盤價 185.00 跌破布林下軌 (186.77)，趨勢轉弱
  5386.TWO                         青雲   287.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00703.TW                   台新MSCI中國    20.22      均線糾纏      MA5/10/20 乖離率僅 0.86%，移動平均線高度重合
   4551.TW                        智伸科   131.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   5608.TW                        四維航    16.45      均線糾纏      MA5/10/20 乖離率僅 1.13%，移動平均線高度重合
   5203.TW                         訊連    63.20      均線糾纏      MA5/10/20 乖離率僅 0.21%，移動平均線高度重合
 00865B.TW                   國泰US短期公債    48.35      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
  3438.TWO                        類比科    44.35      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  4743.TWO                         合一    53.20      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
   7795.TW                         長廣   339.50 離開盤整 (向下)     收盤價 339.50 跌破布林下軌 (342.74)，趨勢轉弱
   4904.TW                         遠傳    93.50      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
  4946.TWO                         辣椒   111.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6695.TW                         芯鼎    39.25      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   8215.TW                        明基材    24.10      進入盤整    ADX 指標為 15.24 (低於 20)，市場目前缺乏推升動能
   3209.TW                         全科    41.50      進入盤整    ADX 指標為 17.13 (低於 20)，市場目前缺乏推升動能
   1305.TW                         華夏    16.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00900.TW                  富邦特選高股息30    13.90      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
   3532.TW                        台勝科   135.00      進入盤整    ADX 指標為 18.68 (低於 20)，市場目前缺乏推升動能
   1314.TW                        中石化     8.24      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6885.TW                       全福生技    24.35      均線糾纏      MA5/10/20 乖離率僅 1.06%，移動平均線高度重合
   1603.TW                         華電    32.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
00719B.TWO                    元大美債1-3    31.48      均線糾纏      MA5/10/20 乖離率僅 0.07%，移動平均線高度重合
   1304.TW                         台聚    17.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5274.TWO                         信驊 11315.00      進入盤整     ADX 指標為 6.44 (低於 20)，市場目前缺乏推升動能
  00923.TW                 群益台ESG低碳50    28.75      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   6873.TW                       泓德能源    84.20      進入盤整    ADX 指標為 12.87 (低於 20)，市場目前缺乏推升動能
  2752.TWO                         豆府   207.00      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
  4909.TWO                        新復興    54.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6016.TWO                        康和證    16.85      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   9906.TW                        欣巴巴    41.55      均線糾纏      MA5/10/20 乖離率僅 0.65%，移動平均線高度重合
   1227.TW                         佳格    31.05      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
  8069.TWO                         元太   144.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2340.TW                         台亞    25.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00982A.TW                   主動群益台灣強棒    16.44      均線糾纏      MA5/10/20 乖離率僅 0.67%，移動平均線高度重合
   3138.TW                         耀登   170.50      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
  5347.TWO                         世界   118.00      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   3017.TW                         奇鋐  2110.00      進入盤整     ADX 指標為 8.95 (低於 20)，市場目前缺乏推升動能
   3037.TW                         欣興   488.50      均線糾纏      MA5/10/20 乖離率僅 1.40%，移動平均線高度重合
   3060.TW                         銘異    28.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1503.TW                         士電   182.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6143.TWO                         振曜    96.00      均線糾纏      MA5/10/20 乖離率僅 1.10%，移動平均線高度重合
  3441.TWO                        聯一光    30.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8080.TWO                         泰霖    28.90      均線糾纏      MA5/10/20 乖離率僅 1.22%，移動平均線高度重合
  5490.TWO                         同亨    27.85      均線糾纏      MA5/10/20 乖離率僅 1.33%，移動平均線高度重合
  6542.TWO                         隆中    56.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   8482.TW                      商億-KY    47.35      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
   2607.TW                         榮運    52.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4768.TWO                       晶呈科技   440.00      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   4755.TW                        三福化   141.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   5469.TW                        瀚宇博    81.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3305.TW                         昇貿   105.00      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
  6236.TWO                         中湛    21.60      均線糾纏      MA5/10/20 乖離率僅 0.00%，移動平均線高度重合
   6214.TW                         精誠   107.50      均線糾纏      MA5/10/20 乖離率僅 1.09%，移動平均線高度重合
 00640L.TW                     富邦日本正2    88.35      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
  2641.TWO                         正德    18.10      均線糾纏      MA5/10/20 乖離率僅 1.41%，移動平均線高度重合
  8432.TWO                        東生華    51.50      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
  6218.TWO                         豪勉    24.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6552.TW                        易華電    25.85      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
   1216.TW                         統一    71.90      均線糾纏      MA5/10/20 乖離率僅 0.51%，移動平均線高度重合
   2887.TW                      台新新光金    24.05      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   1471.TW                         首利    12.25      均線糾纏      MA5/10/20 乖離率僅 1.34%，移動平均線高度重合
   2493.TW                         揚博   109.00      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   1590.TW                     亞德客-KY  1025.00      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
   6614.TW                       資拓宏宇    41.25      均線糾纏      MA5/10/20 乖離率僅 1.07%，移動平均線高度重合
  4127.TWO                         天良    35.65      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
 00638R.TW                  元大滬深300反1     7.04      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
  00919.TW                   群益台灣精選高息    22.50      均線糾纏      MA5/10/20 乖離率僅 0.63%，移動平均線高度重合
  6217.TWO                        中探針   179.50      進入盤整    ADX 指標為 15.49 (低於 20)，市場目前缺乏推升動能
   1710.TW                         東聯    14.55      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6213.TW                         聯茂   163.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   9103.TW                    美德醫療-DR     5.20      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   1452.TW                         宏益    11.70      均線糾纏      MA5/10/20 乖離率僅 0.59%，移動平均線高度重合
   4746.TW                         台耀    56.00      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
   2337.TW                         旺宏   127.00      進入盤整    ADX 指標為 13.37 (低於 20)，市場目前缺乏推升動能
   6796.TW                         晉弘    73.80      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
   6133.TW                         金橋    22.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3466.TWO                         德晉    33.10 離開盤整 (向下)       收盤價 33.10 跌破布林下軌 (33.43)，趨勢轉弱
   4569.TW                     六方科-KY   128.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   7799.TW                        禾榮科   348.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3036.TW                         文曄   225.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8921.TWO                         沈氏    17.80      均線糾纏      MA5/10/20 乖離率僅 0.62%，移動平均線高度重合
  3163.TWO                        波若威   866.00      均線糾纏      MA5/10/20 乖離率僅 1.41%，移動平均線高度重合
   2495.TW                         普安    34.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1341.TW                      富林-KY    58.00      均線糾纏      MA5/10/20 乖離率僅 0.30%，移動平均線高度重合
   6225.TW                         天瀚    19.10      進入盤整    ADX 指標為 17.72 (低於 20)，市場目前缺乏推升動能
   1444.TW                         力麗     6.25      均線糾纏      MA5/10/20 乖離率僅 0.46%，移動平均線高度重合
   0056.TW                      元大高股息    38.11      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
   8463.TW                        潤泰材    22.30      進入盤整    ADX 指標為 15.33 (低於 20)，市場目前缺乏推升動能
  8109.TWO                         博大   105.50 離開盤整 (向上)   收盤價 105.50 強勢突破布林上軌 (105.06)，趨勢轉強
  8077.TWO                        洛��    44.20      均線糾纏      MA5/10/20 乖離率僅 0.32%，移動平均線高度重合
  6512.TWO                        啟發電    20.00      均線糾纏      MA5/10/20 乖離率僅 0.02%，移動平均線高度重合
  00882.TW                    中信中國高股息    15.53      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  6684.TWO                         安格    43.00      均線糾纏      MA5/10/20 乖離率僅 1.47%，移動平均線高度重合
  3546.TWO                         宇峻    70.10      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
 00987A.TW                   主動台新優勢成長    12.40      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
  3552.TWO                         同致    59.60 離開盤整 (向上)     收盤價 59.60 強勢突破布林上軌 (56.38)，趨勢轉強
   2377.TW                         微星    88.10      進入盤整    ADX 指標為 17.69 (低於 20)，市場目前缺乏推升動能
   4583.TW                       台灣精銳   642.00      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  3293.TWO                         鈊象   767.00      進入盤整    ADX 指標為 18.50 (低於 20)，市場目前缺乏推升動能
   7711.TW                         永擎   265.50      進入盤整    ADX 指標為 16.82 (低於 20)，市場目前缺乏推升動能
  00910.TW                    第一金太空衛星    57.45      均線糾纏      MA5/10/20 乖離率僅 0.93%，移動平均線高度重合
   2397.TW                         友通    54.20      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
  00678.TW                   群益那斯達克生技    35.94      均線糾纏      MA5/10/20 乖離率僅 0.50%，移動平均線高度重合
  9960.TWO                        邁達康    24.75      進入盤整    ADX 指標為 16.89 (低於 20)，市場目前缺乏推升動能
   1608.TW                         華榮    31.80      均線糾纏      MA5/10/20 乖離率僅 1.50%，移動平均線高度重合
  8279.TWO                         生展   108.50      均線糾纏      MA5/10/20 乖離率僅 0.58%，移動平均線高度重合
   2006.TW                       東和鋼鐵    68.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6715.TW                         嘉基   329.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00946.TW                   群益科技高息成長    10.11      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   3034.TW                         聯詠   391.50      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  1595.TWO                         川寶    41.40      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   3588.TW                         通嘉    47.15      均線糾纏      MA5/10/20 乖離率僅 0.90%，移動平均線高度重合
   4994.TW                         傳奇    98.90      均線糾纏      MA5/10/20 乖離率僅 1.32%，移動平均線高度重合
   2603.TW                         長榮   204.50      均線糾纏      MA5/10/20 乖離率僅 1.25%，移動平均線高度重合
   3528.TW                         安馳    64.50      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
  6643.TWO                        M31   486.00      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   6854.TW                   錼創科技-KY創   141.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1459.TW                         聯發    11.70      均線糾纏      MA5/10/20 乖離率僅 0.26%，移動平均線高度重合
  4903.TWO                        聯光通    44.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8444.TWO                      綠河-KY     9.30      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
  8423.TWO                      保綠-KY    18.60      均線糾纏      MA5/10/20 乖離率僅 0.29%，移動平均線高度重合
   3016.TW                         嘉晶    52.80      進入盤整     ADX 指標為 6.44 (低於 20)，市場目前缺乏推升動能
 00852L.TW                   國泰美國道瓊正2    28.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6533.TW                        晶心科   179.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00985A.TW                   主動野村台灣50    16.20      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  6620.TWO                         漢達    68.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   9919.TW                        康那香    15.65      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
   1326.TW                         台化    45.30      均線糾纏      MA5/10/20 乖離率僅 1.06%，移動平均線高度重合
  6517.TWO                       保勝光學    56.50      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
   1583.TW                         程泰    43.85      均線糾纏      MA5/10/20 乖離率僅 0.32%，移動平均線高度重合
 00669R.TW                   國泰美國道瓊反1     5.94      均線糾纏      MA5/10/20 乖離率僅 0.73%，移動平均線高度重合
   4919.TW                         新唐    94.50      進入盤整    ADX 指標為 12.59 (低於 20)，市場目前缺乏推升動能
   6142.TW                         友勁     9.51      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
   2321.TW                         東訊    14.75      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3213.TWO                         茂訊    99.80      均線糾纏      MA5/10/20 乖離率僅 0.63%，移動平均線高度重合
  3489.TWO                         森寶    23.25      進入盤整    ADX 指標為 14.98 (低於 20)，市場目前缺乏推升動能
   2327.TW                        國巨*   251.50      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
  6126.TWO                         信音    29.95      進入盤整    ADX 指標為 13.88 (低於 20)，市場目前缺乏推升動能
   1473.TW                         台南    24.30      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
  8289.TWO                         泰藝    37.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5439.TWO                         高技   282.50      進入盤整    ADX 指標為 15.71 (低於 20)，市場目前缺乏推升動能
  6703.TWO                         軒郁   113.00      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
   3005.TW                         神基    97.70      進入盤整    ADX 指標為 18.19 (低於 20)，市場目前缺乏推升動能
   2009.TW                        第一銅    40.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6423.TWO                        億而得    82.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2610.TW                         華航    18.40      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   2836.TW                        高雄銀    12.10      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
  4198.TWO                       欣大健康    38.40      均線糾纏      MA5/10/20 乖離率僅 0.83%，移動平均線高度重合
   2379.TW                         瑞昱   484.50      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
  4157.TWO                     太景*-KY    11.25      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
  6546.TWO                         正基    67.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1760.TW                       寶齡富錦    63.50      均線糾纏      MA5/10/20 乖離率僅 1.04%，移動平均線高度重合
