短線策略回測報告  (20260322)
================================================================================

=== 6831.TW (DMA:5) ===
買 2025-12-22 @261.50 | 賣 2026-01-05 @306.00 | 44.50 (17.02%)
買 2020-10-08 @41.19 | 賣 2020-10-16 @39.81 | -1.38 (-3.36%)
買 2020-10-23 @40.97 | 賣 2020-10-29 @39.15 | -1.82 (-4.45%)
買 2020-11-16 @41.41 | 賣 2020-11-25 @46.00 | 4.59 (11.08%)
買 2021-01-20 @157.58 | 賣 2021-01-26 @139.34 | -18.25 (-11.58%)
買 2021-02-05 @190.76 | 賣 2021-02-18 @230.02 | 39.26 (20.58%)
買 2021-03-08 @207.90 | 賣 2021-03-15 @258.22 | 50.32 (24.20%)
買 2021-03-17 @277.57 | 賣 2021-03-19 @320.70 | 43.13 (15.54%)
買 2021-04-12 @364.93 | 賣 2021-05-03 @338.94 | -25.99 (-7.12%)
買 2021-05-26 @339.50 | 賣 2021-06-04 @348.34 | 8.85 (2.61%)
買 2021-06-15 @373.22 | 賣 2021-06-16 @353.87 | -19.35 (-5.19%)
買 2021-06-21 @323.22 | 賣 2021-06-22 @315.42 | -7.80 (-2.41%)
買 2021-08-11 @316.35 | 賣 2021-08-12 @311.85 | -4.50 (-1.42%)
買 2021-11-16 @261.19 | 賣 2021-11-19 @302.28 | 41.09 (15.73%)
買 2021-11-29 @277.51 | 賣 2021-12-16 @323.11 | 45.60 (16.43%)
買 2021-12-24 @318.04 | 賣 2022-01-05 @295.52 | -22.52 (-7.08%)
買 2022-11-07 @142.39 | 賣 2022-11-15 @165.04 | 22.65 (15.91%)
買 2022-11-30 @161.80 | 賣 2022-12-06 @156.63 | -5.18 (-3.20%)
買 2023-01-03 @159.22 | 賣 2023-01-10 @183.16 | 23.95 (15.04%)
買 2023-02-08 @190.93 | 賣 2023-02-10 @183.81 | -7.12 (-3.73%)
買 2023-03-02 @226.53 | 賣 2023-03-10 @214.23 | -12.30 (-5.43%)
買 2023-04-11 @231.70 | 賣 2023-04-19 @224.58 | -7.12 (-3.07%)
買 2023-10-17 @239.39 | 賣 2023-10-19 @238.94 | -0.45 (-0.19%)
買 2023-11-02 @252.52 | 賣 2023-11-03 @243.01 | -9.50 (-3.76%)
買 2023-11-06 @234.42 | 賣 2023-11-08 @230.34 | -4.07 (-1.74%)
買 2023-11-17 @250.71 | 賣 2023-11-23 @241.66 | -9.05 (-3.61%)
買 2023-11-27 @248.90 | 賣 2023-12-13 @236.68 | -12.22 (-4.91%)
買 2024-02-20 @237.58 | 賣 2024-02-21 @230.34 | -7.24 (-3.05%)
買 2024-04-03 @243.01 | 賣 2024-04-10 @229.44 | -13.58 (-5.59%)
買 2024-05-06 @248.44 | 賣 2024-05-13 @220.84 | -27.60 (-11.11%)
買 2024-05-14 @236.23 | 賣 2024-05-24 @230.80 | -5.43 (-2.30%)
買 2024-06-13 @249.80 | 賣 2024-07-09 @242.80 | -7.00 (-2.80%)
買 2024-08-19 @248.92 | 賣 2024-09-04 @236.69 | -12.23 (-4.91%)
買 2024-09-23 @254.57 | 賣 2024-10-29 @233.86 | -20.70 (-8.13%)
買 2025-06-27 @213.16 | 賣 2025-06-30 @205.63 | -7.53 (-3.53%)
買 2026-01-29 @151.00 | 賣 2026-02-02 @143.00 | -8.00 (-5.30%)
小計: 0.47  交易次數: 70

=== 2012.TW (DMA:120) ===
買 2014-08-12 @7.57 | 賣 2014-08-14 @7.32 | -0.25 (-3.25%)
買 2014-09-16 @7.59 | 賣 2014-09-26 @7.57 | -0.03 (-0.37%)
買 2014-11-11 @7.51 | 賣 2014-11-20 @7.31 | -0.20 (-2.64%)
買 2014-11-27 @7.42 | 賣 2014-12-25 @8.02 | 0.60 (8.02%)
買 2015-01-07 @8.02 | 賣 2015-03-24 @8.56 | 0.54 (6.71%)
買 2015-04-24 @9.04 | 賣 2015-05-15 @8.93 | -0.11 (-1.25%)
買 2015-12-09 @8.50 | 賣 2015-12-18 @8.39 | -0.12 (-1.39%)
買 2016-02-16 @8.21 | 賣 2016-02-17 @8.24 | 0.03 (0.36%)
買 2016-02-18 @8.27 | 賣 2016-02-19 @8.15 | -0.12 (-1.43%)
買 2016-03-04 @8.44 | 賣 2016-03-28 @8.18 | -0.27 (-3.15%)
買 2016-07-18 @8.50 | 賣 2016-07-29 @8.44 | -0.06 (-0.69%)
買 2016-11-09 @8.21 | 賣 2016-12-01 @8.18 | -0.03 (-0.37%)
買 2016-12-06 @8.33 | 賣 2016-12-15 @8.15 | -0.18 (-2.21%)
買 2017-02-10 @8.33 | 賣 2017-02-13 @8.36 | 0.03 (0.37%)
買 2017-02-24 @8.42 | 賣 2017-03-17 @8.51 | 0.09 (1.09%)
買 2017-05-08 @8.48 | 賣 2017-05-15 @8.48 | 0.00 (0.00%)
買 2017-05-22 @8.51 | 賣 2017-06-01 @8.82 | 0.31 (3.60%)
買 2017-06-12 @8.85 | 賣 2017-06-28 @8.67 | -0.18 (-2.08%)
買 2017-07-06 @8.67 | 賣 2017-07-10 @8.67 | 0.00 (0.00%)
買 2017-08-01 @8.79 | 賣 2017-09-15 @8.90 | 0.11 (1.30%)
買 2017-09-29 @9.39 | 賣 2017-10-25 @9.36 | -0.03 (-0.34%)
買 2017-11-16 @9.36 | 賣 2017-11-28 @9.23 | -0.13 (-1.38%)
買 2018-01-02 @9.36 | 賣 2018-01-08 @9.77 | 0.42 (4.48%)
買 2018-01-25 @9.81 | 賣 2018-01-31 @9.71 | -0.10 (-0.99%)
買 2018-04-20 @13.32 | 賣 2018-04-26 @12.78 | -0.55 (-4.12%)
買 2018-05-10 @13.07 | 賣 2018-05-30 @12.87 | -0.19 (-1.48%)
買 2018-07-02 @13.04 | 賣 2018-07-05 @12.57 | -0.47 (-3.60%)
買 2018-08-30 @13.41 | 賣 2018-09-13 @13.41 | 0.00 (0.00%)
買 2018-09-18 @13.51 | 賣 2018-10-03 @13.38 | -0.13 (-0.99%)
買 2018-11-08 @13.34 | 賣 2018-12-06 @13.28 | -0.07 (-0.50%)
買 2019-01-03 @13.41 | 賣 2019-01-11 @13.75 | 0.34 (2.50%)
買 2019-01-24 @14.05 | 賣 2019-01-30 @13.81 | -0.23 (-1.67%)
買 2019-02-14 @14.15 | 賣 2019-03-07 @14.08 | -0.07 (-0.47%)
買 2019-03-15 @14.65 | 賣 2019-04-01 @15.86 | 1.21 (8.24%)
買 2019-04-18 @15.99 | 賣 2019-04-29 @15.79 | -0.20 (-1.26%)
買 2019-06-24 @15.86 | 賣 2019-07-22 @15.70 | -0.16 (-0.98%)
買 2020-09-22 @12.61 | 賣 2020-09-25 @12.38 | -0.23 (-1.81%)
買 2020-12-21 @14.47 | 賣 2020-12-22 @13.75 | -0.72 (-4.99%)
買 2021-02-22 @14.13 | 賣 2021-03-25 @15.42 | 1.29 (9.14%)
買 2021-04-09 @16.39 | 賣 2021-04-16 @20.46 | 4.07 (24.82%)
買 2021-05-10 @23.40 | 賣 2021-05-11 @22.03 | -1.37 (-5.85%)
買 2021-05-31 @22.54 | 賣 2021-06-07 @21.05 | -1.49 (-6.60%)
買 2021-06-11 @22.03 | 賣 2021-06-21 @20.46 | -1.57 (-7.10%)
買 2021-06-22 @22.50 | 賣 2021-06-23 @21.72 | -0.78 (-3.48%)
買 2021-06-24 @22.77 | 賣 2021-06-29 @28.05 | 5.28 (23.20%)
買 2021-07-15 @28.56 | 賣 2021-07-21 @27.12 | -1.45 (-5.07%)
買 2021-08-31 @27.04 | 賣 2021-09-02 @25.04 | -2.00 (-7.38%)
買 2021-09-10 @24.89 | 賣 2021-09-22 @23.59 | -1.29 (-5.19%)
買 2021-11-02 @22.97 | 賣 2021-11-23 @23.28 | 0.31 (1.36%)
買 2021-12-08 @24.02 | 賣 2022-01-04 @24.26 | 0.24 (0.99%)
買 2022-02-18 @24.54 | 賣 2022-03-08 @23.55 | -0.99 (-4.05%)
買 2022-03-21 @25.57 | 賣 2022-04-01 @24.70 | -0.88 (-3.43%)
買 2022-04-25 @24.66 | 賣 2022-04-26 @24.66 | 0.00 (0.00%)
買 2022-12-21 @20.99 | 賣 2023-03-01 @21.39 | 0.40 (1.89%)
買 2023-03-13 @21.57 | 賣 2023-03-20 @21.43 | -0.13 (-0.61%)
買 2023-03-21 @21.57 | 賣 2023-04-11 @23.37 | 1.80 (8.37%)
買 2023-04-25 @23.68 | 賣 2023-05-09 @23.59 | -0.09 (-0.37%)
買 2023-05-23 @24.03 | 賣 2023-07-03 @24.68 | 0.65 (2.72%)
買 2023-09-15 @22.27 | 賣 2023-09-25 @22.13 | -0.14 (-0.61%)
買 2024-04-03 @21.44 | 賣 2024-04-22 @21.63 | 0.18 (0.85%)
買 2024-04-24 @21.90 | 賣 2024-05-24 @21.44 | -0.46 (-2.08%)
買 2024-06-04 @22.13 | 賣 2024-06-07 @22.04 | -0.09 (-0.41%)
買 2024-06-11 @22.59 | 賣 2024-07-30 @23.44 | 0.85 (3.77%)
買 2024-08-13 @23.96 | 賣 2024-08-23 @26.09 | 2.13 (8.89%)
買 2024-09-02 @25.14 | 賣 2024-09-04 @23.01 | -2.13 (-8.47%)
買 2024-10-09 @24.34 | 賣 2024-10-15 @24.62 | 0.28 (1.17%)
買 2024-10-18 @25.24 | 賣 2024-10-29 @24.34 | -0.90 (-3.56%)
買 2024-11-28 @25.19 | 賣 2024-12-06 @24.34 | -0.85 (-3.38%)
買 2024-12-10 @24.57 | 賣 2024-12-17 @24.24 | -0.33 (-1.35%)
買 2025-02-03 @23.77 | 賣 2025-03-05 @25.19 | 1.42 (5.98%)
小計: 0.81  交易次數: 70

=== 8114.TW (DMA:240) ===
買 2015-01-23 @85.19 | 賣 2015-01-28 @82.61 | -2.58 (-3.03%)
買 2015-03-19 @98.10 | 賣 2015-03-26 @94.66 | -3.44 (-3.51%)
買 2015-04-20 @95.81 | 賣 2015-05-08 @91.79 | -4.02 (-4.19%)
買 2015-09-23 @98.14 | 賣 2015-11-11 @100.32 | 2.18 (2.22%)
買 2015-12-03 @104.68 | 賣 2015-12-10 @100.63 | -4.05 (-3.87%)
買 2016-01-28 @94.09 | 賣 2016-03-28 @100.94 | 6.85 (7.28%)
買 2016-04-18 @102.81 | 賣 2016-04-25 @101.56 | -1.25 (-1.21%)
買 2016-05-09 @103.43 | 賣 2016-05-10 @99.70 | -3.74 (-3.61%)
買 2016-05-31 @102.81 | 賣 2016-06-13 @99.38 | -3.43 (-3.33%)
買 2016-07-12 @101.25 | 賣 2016-08-15 @118.53 | 17.28 (17.06%)
買 2016-08-24 @119.20 | 賣 2016-09-12 @119.20 | 0.00 (0.00%)
買 2016-09-29 @128.21 | 賣 2016-10-06 @130.22 | 2.00 (1.56%)
買 2016-10-21 @132.22 | 賣 2016-10-26 @128.21 | -4.01 (-3.03%)
買 2016-11-30 @123.04 | 賣 2016-12-05 @118.69 | -4.35 (-3.53%)
買 2017-01-06 @121.37 | 賣 2017-01-16 @117.69 | -3.68 (-3.03%)
買 2017-01-17 @117.02 | 賣 2017-01-18 @116.69 | -0.33 (-0.29%)
買 2017-02-07 @119.03 | 賣 2017-02-13 @112.01 | -7.02 (-5.90%)
買 2017-03-13 @115.35 | 賣 2017-03-20 @110.33 | -5.02 (-4.35%)
買 2017-05-10 @111.00 | 賣 2017-05-15 @107.66 | -3.34 (-3.01%)
買 2017-06-14 @112.67 | 賣 2017-06-21 @113.68 | 1.00 (0.89%)
買 2017-07-27 @111.67 | 賣 2017-08-04 @107.66 | -4.01 (-3.59%)
買 2019-04-24 @83.18 | 賣 2019-05-03 @82.42 | -0.76 (-0.91%)
買 2019-07-02 @81.66 | 賣 2019-07-16 @81.28 | -0.38 (-0.47%)
買 2019-07-25 @84.70 | 賣 2019-09-05 @87.88 | 3.18 (3.75%)
買 2019-09-25 @87.88 | 賣 2019-09-27 @87.07 | -0.80 (-0.91%)
買 2019-12-09 @82.26 | 賣 2020-01-13 @82.66 | 0.40 (0.49%)
買 2020-02-19 @81.05 | 賣 2020-02-20 @80.65 | -0.40 (-0.50%)
買 2021-03-11 @66.48 | 賣 2021-03-17 @72.24 | 5.77 (8.67%)
買 2021-03-23 @68.77 | 賣 2021-04-08 @69.36 | 0.59 (0.86%)
買 2021-04-12 @69.79 | 賣 2021-04-14 @67.41 | -2.37 (-3.40%)
買 2021-09-27 @69.19 | 賣 2021-10-18 @68.50 | -0.69 (-1.00%)
買 2021-10-21 @68.76 | 賣 2021-10-26 @72.57 | 3.81 (5.53%)
買 2021-12-08 @99.03 | 賣 2021-12-15 @117.63 | 18.60 (18.78%)
買 2021-12-24 @105.52 | 賣 2022-01-10 @102.93 | -2.59 (-2.46%)
買 2022-03-23 @87.36 | 賣 2022-04-07 @83.64 | -3.72 (-4.26%)
買 2022-04-08 @86.92 | 賣 2022-04-13 @103.36 | 16.43 (18.91%)
買 2022-04-29 @102.93 | 賣 2022-05-09 @96.87 | -6.05 (-5.88%)
買 2022-05-23 @106.82 | 賣 2022-05-24 @102.06 | -4.76 (-4.45%)
買 2022-06-06 @108.98 | 賣 2022-06-07 @104.22 | -4.76 (-4.37%)
買 2022-06-10 @110.28 | 賣 2022-06-16 @105.09 | -5.19 (-4.71%)
買 2022-06-30 @115.03 | 賣 2022-07-01 @109.66 | -5.37 (-4.67%)
買 2022-07-05 @125.78 | 賣 2022-07-06 @116.38 | -9.40 (-7.47%)
買 2022-07-08 @120.85 | 賣 2022-07-26 @114.59 | -6.27 (-5.19%)
買 2022-08-02 @136.97 | 賣 2022-09-08 @138.31 | 1.34 (0.98%)
買 2022-09-15 @152.63 | 賣 2022-09-16 @142.34 | -10.29 (-6.74%)
買 2022-11-07 @107.87 | 賣 2022-11-10 @104.29 | -3.58 (-3.32%)
買 2022-11-11 @104.29 | 賣 2022-11-25 @104.74 | 0.45 (0.43%)
買 2022-11-29 @109.22 | 賣 2022-12-12 @101.61 | -7.61 (-6.97%)
買 2023-01-17 @102.05 | 賣 2023-03-14 @103.84 | 1.79 (1.75%)
買 2023-11-27 @106.86 | 賣 2023-12-01 @110.19 | 3.32 (3.11%)
買 2023-12-08 @110.19 | 賣 2024-01-16 @113.99 | 3.80 (3.45%)
買 2024-02-23 @117.31 | 賣 2024-03-08 @112.09 | -5.22 (-4.45%)
買 2024-04-30 @114.46 | 賣 2024-05-10 @116.84 | 2.37 (2.07%)
買 2024-05-27 @121.11 | 賣 2024-06-03 @126.81 | 5.70 (4.71%)
買 2024-07-18 @185.02 | 賣 2024-08-01 @192.81 | 7.79 (4.21%)
買 2024-08-20 @185.50 | 賣 2024-08-23 @178.69 | -6.82 (-3.67%)
買 2024-09-13 @189.89 | 賣 2024-09-18 @183.07 | -6.82 (-3.59%)
買 2024-09-19 @201.08 | 賣 2024-11-04 @197.68 | -3.41 (-1.69%)
買 2024-11-11 @222.99 | 賣 2024-11-15 @271.68 | 48.69 (21.83%)
買 2024-12-31 @357.86 | 賣 2025-01-02 @345.20 | -12.66 (-3.54%)
買 2025-01-03 @354.45 | 賣 2025-01-10 @335.46 | -18.99 (-5.36%)
買 2025-02-24 @329.13 | 賣 2025-02-25 @305.28 | -23.86 (-7.25%)
買 2025-02-27 @293.59 | 賣 2025-03-03 @281.42 | -12.17 (-4.15%)
買 2025-03-11 @313.55 | 賣 2025-03-14 @293.59 | -19.96 (-6.37%)
買 2025-05-02 @257.56 | 賣 2025-05-09 @277.52 | 19.96 (7.75%)
買 2025-06-02 @299.92 | 賣 2025-06-06 @277.04 | -22.88 (-7.63%)
買 2025-07-03 @292.50 | 賣 2025-07-07 @260.50 | -32.00 (-10.94%)
買 2025-08-29 @274.50 | 賣 2025-09-01 @263.50 | -11.00 (-4.01%)
小計: -131.75  交易次數: 68
