🚀 智能量化選股報告 - 2026-03-25
==========================================================================================

【🚀超級強勢】(數量: 270)
------------------------------------------------------------------------------------------
6739.TWO | 竹陞科技       | B6: 12.70% | DMA:261.960 | 💸流出 | 🚀DMA趨勢+多頭強勢
2243.TW  | 宏旭-KY      | B6: 31.60% | DMA:  5.501 | 💎流入 | 🧨瘋狗浪(極限)
2485.TW  | 兆赫         | B6: 31.19% | DMA: 27.043 | 💎流入 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 30.82% | DMA: 22.480 | 💸流出 | 🧨瘋狗浪(極限)
6574.TWO | 霈方         | B6: 30.13% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
8271.TW  | 宇瞻         | B6: 29.66% | DMA: 47.570 | 💎流入 | 🧨瘋狗浪(極限)
3260.TWO | 威剛         | B6: 29.42% | DMA: 92.504 | 💎流入 | 🧨瘋狗浪(極限)
1735.TW  | 日勝化        | B6: 29.26% | DMA:  7.520 | 💎流入 | 🧨瘋狗浪(極限)
6226.TW  | 光鼎         | B6: 29.21% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
3437.TW  | 榮創         | B6: 28.05% | DMA:  5.248 | 💸流出 | 🧨瘋狗浪(極限)
1711.TW  | 永光         | B6: 27.59% | DMA: 11.317 | 💎流入 | 🧨瘋狗浪(極限)
6515.TW  | 穎崴         | B6: 25.71% | DMA:2402.000 | 💎流入 | 🧨瘋狗浪(極限)
1785.TWO | 光洋科        | B6: 25.13% | DMA: 21.718 | 💸流出 | 🧨瘋狗浪(極限)
5289.TWO | 宜鼎         | B6: 24.77% | DMA:294.480 | 💎流入 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 24.22% | DMA:267.050 | 💎流入 | 🧨瘋狗浪(極限)
6451.TW  | 訊芯-KY      | B6: 23.97% | DMA: 73.070 | 💎流入 | 🧨瘋狗浪(極限)
3066.TWO | 李洲         | B6: 23.30% | DMA:  4.358 | 💎流入 | 🧨瘋狗浪(極限)
2337.TW  | 旺宏         | B6: 23.21% | DMA: 40.985 | 💎流入 | 🧨瘋狗浪(極限)
6727.TWO | 亞泰金屬       | B6: 23.13% | DMA: 72.930 | 💎流入 | 🧨瘋狗浪(極限)
5351.TWO | 鈺創         | B6: 22.75% | DMA: 12.042 | 💎流入 | 🧨瘋狗浪(極限)
8240.TWO | 華宏         | B6: 22.38% | DMA:  9.916 | 💎流入 | 🧨瘋狗浪(極限)
2399.TW  | 映泰         | B6: 22.00% | DMA:  4.901 | 💎流入 | 🧨瘋狗浪(極限)
6103.TWO | 合邦         | B6: 20.86% | DMA:  9.530 | 💎流入 | 🧨瘋狗浪(極限)
4949.TW  | 有成精密       | B6: 20.54% | DMA: 16.769 | 💸流出 | 🧨瘋狗浪(極限)
7751.TWO | 竑騰         | B6: 20.50% | DMA:460.080 | 💎流入 | 🧨瘋狗浪(極限)
6640.TWO | 均華         | B6: 20.20% | DMA:243.500 | 💎流入 | 🧨瘋狗浪(極限)
8064.TWO | 東捷         | B6: 20.20% | DMA: 10.141 | 💎流入 | 🧨瘋狗浪(極限)
4956.TW  | 光鋐         | B6: 20.02% | DMA:  8.215 | 💎流入 | 🧨瘋狗浪(極限)
2451.TW  | 創見         | B6: 19.95% | DMA: 32.380 | 💸流出 | 🔥高檔轉折(警示)
6683.TWO | 雍智科技       | B6: 19.58% | DMA:434.090 | 💸流出 | 🔥高檔轉折(警示)
8472.TWO | 夠麻吉        | B6: 19.07% | DMA: 12.500 | 💸流出 | 🔥高檔轉折(警示)
1309.TW  | 台達化        | B6: 18.46% | DMA:  3.907 | 💎流入 | 🔥高檔轉折(警示)
3702.TW  | 大聯大        | B6: 18.42% | DMA: 17.674 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3131.TWO | 弘塑         | B6: 18.20% | DMA:422.400 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7730.TW  | 暉盛-創       | B6: 17.71% | DMA: 36.134 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3049.TW  | 精金         | B6: 17.38% | DMA:  3.898 | 💎流入 | 🔥高檔轉折(警示)
3498.TWO | 陽程         | B6: 17.18% | DMA: 16.935 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6531.TW  | 愛普*        | B6: 17.11% | DMA: 71.740 | 💸流出 | 🔥高檔轉折(警示)
1799.TWO | 易威         | B6: 16.95% | DMA:  0.000 | 💸流出 | 🔥高檔轉折(警示)
6223.TWO | 旺矽         | B6: 16.90% | DMA:863.600 | 💎流入 | 🔥高檔轉折(警示)
6231.TWO | 系微         | B6: 16.71% | DMA: 31.780 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4905.TWO | 台聯電        | B6: 16.51% | DMA: 11.806 | 💸流出 | 🔥高檔轉折(警示)
6830.TW  | 汎銓         | B6: 16.36% | DMA:137.650 | 💎流入 | 🔥高檔轉折(警示)
3006.TW  | 晶豪科        | B6: 16.20% | DMA: 23.180 | 💎流入 | 🔥高檔轉折(警示)
9136.TW  | 巨騰-DR      | B6: 16.02% | DMA:  1.688 | 💎流入 | 🔥高檔轉折(警示)
4967.TW  | 十銓         | B6: 15.98% | DMA: 21.620 | 💸流出 | 🔥高檔轉折(警示)
6874.TWO | 倍力         | B6: 15.95% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
8155.TWO | 博智         | B6: 15.83% | DMA: 37.140 | 💎流入 | 🔥高檔轉折(警示)
6167.TWO | 久正         | B6: 15.74% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
6894.TWO | 衛司特        | B6: 15.69% | DMA: 82.445 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6547.TWO | 高端疫苗       | B6: 15.56% | DMA:  6.604 | 💎流入 | 🔥高檔轉折(警示)
3693.TWO | 營邦         | B6: 15.55% | DMA: 95.320 | 💸流出 | 🔥高檔轉折(警示)
00642U.TW | 期元大S&P石油   | B6: 15.45% | DMA:  6.575 | 💸流出 | 🔥高檔轉折(警示)
8096.TWO | 擎亞         | B6: 15.19% | DMA: 17.879 | 💸流出 | 🔥高檔轉折(警示)
4919.TW  | 新唐         | B6: 15.11% | DMA: 23.852 | 💎流入 | 🔥高檔轉折(警示)
3036.TW  | 文曄         | B6: 14.92% | DMA: 60.560 | 💸流出 | 🔥高檔轉折(警示)
6147.TWO | 頎邦         | B6: 14.89% | DMA:  8.212 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6465.TWO | 威潤         | B6: 14.84% | DMA:  3.877 | 💎流入 | 🔥高檔轉折(警示)
6291.TWO | 沛亨         | B6: 14.83% | DMA: 92.720 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
3714.TW  | 富采         | B6: 14.82% | DMA:  8.170 | 💎流入 | 🔥高檔轉折(警示)
6197.TW  | 佳必琪        | B6: 14.73% | DMA: 27.480 | 💎流入 | 🔥高檔轉折(警示)
6532.TWO | 瑞耘         | B6: 14.65% | DMA: 11.820 | 💎流入 | 🔥高檔轉折(警示)
7712.TWO | 博盛半導體      | B6: 14.64% | DMA: 27.566 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3037.TW  | 欣興         | B6: 14.53% | DMA:140.220 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6924.TW  | 榮惠-KY創     | B6: 14.52% | DMA:  7.508 | 💎流入 | 🔥高檔轉折(警示)
7547.TWO | 碩網         | B6: 14.43% | DMA:  7.584 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3508.TWO | 位速         | B6: 14.28% | DMA: 11.226 | 💸流出 | 🔥高檔轉折(警示)
6499.TWO | 益安         | B6: 14.21% | DMA:  8.866 | 💸流出 | 🔥高檔轉折(警示)
9929.TW  | 秋雨         | B6: 14.15% | DMA:  1.361 | 💎流入 | 🔥高檔轉折(警示)
4542.TWO | 科嶠         | B6: 14.09% | DMA: 50.030 | 💸流出 | 🔥高檔轉折(警示)
1305.TW  | 華夏         | B6: 14.02% | DMA:  2.677 | 💸流出 | 🔥高檔轉折(警示)
3563.TW  | 牧德         | B6: 14.01% | DMA:149.030 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3163.TWO | 波若威        | B6: 13.55% | DMA:296.250 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6246.TWO | 臺龍         | B6: 13.52% | DMA:  2.340 | 💎流入 | 🔥高檔轉折(警示)
6568.TWO | 宏觀         | B6: 13.51% | DMA: 45.120 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3339.TWO | 泰谷         | B6: 13.45% | DMA:  5.079 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3086.TWO | 華義         | B6: 13.26% | DMA: 36.570 | 💎流入 | 🔥高檔轉折(警示)
3189.TW  | 景碩         | B6: 13.20% | DMA: 84.289 | 💎流入 | 🔥高檔轉折(警示)
4906.TW  | 正文         | B6: 13.17% | DMA:  2.949 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3040.TW  | 遠見         | B6: 13.15% | DMA:  1.443 | 💎流入 | 🔥高檔轉折(警示)
6861.TW  | 睿生光電       | B6: 13.04% | DMA: 57.436 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5274.TWO | 信驊         | B6: 13.02% | DMA:1890.800 | 💸流出 | 🔥高檔轉折(警示)
5543.TWO | 桓鼎-KY      | B6:  1.70% | DMA: -2.293 | 💎流入 | 🔥高檔轉折(警示)
3587.TWO | 閎康         | B6:  1.57% | DMA:  7.487 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6821.TWO | 聯寶         | B6:  1.36% | DMA:  0.920 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2504.TW  | 國產         | B6:  0.67% | DMA:  0.921 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3531.TWO | 先益         | B6:  0.57% | DMA: -0.099 | 💸流出 | ⚠️高檔過熱
6542.TWO | 隆中         | B6: -0.81% | DMA:  1.013 | 💎流入 | 🔥高檔轉折(警示)
1904.TW  | 正隆         | B6: -1.14% | DMA: -0.025 | 💎流入 | ⚠️高檔過熱
2702.TW  | 華園         | B6: -2.26% | DMA: -0.313 | 💎流入 | ⚠️高檔過熱
3150.TW  | 鈺寶-創       | B6: -2.75% | DMA: -1.717 | 💎流入 | ⚠️高檔過熱
2231.TW  | 為升         | B6: -3.43% | DMA: -5.660 | 💎流入 | ⚠️高檔過熱
6442.TW  | 光聖         | B6: -4.04% | DMA:155.400 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4154.TWO | 樂威科-KY     | B6: -6.31% | DMA: -2.206 | 💸流出 | ⚠️高檔過熱
7752.TWO | 世紀樺欣       | B6: -6.54% | DMA: -9.513 | 💎流入 | ⚠️高檔過熱
